split_regime,pool,task,task_type,candidate_count,transformation,n_outer_units,n_matrix_columns,entropy_rank,participation_rank,median_correlation,ledoit_wolf_shrinkage_alpha,eigenvalue_probability_json,relative_entropy_rank
similarity_cluster,Classical multiview,esol,regression,8,raw,15,8,7.295716337710742,6.6375288661590375,0.06900892697885465,0.5735296858756421,"[0.07237088151765225, 0.07381621514463085, 0.08288302978217624, 0.10127815710958886, 0.11538340362561113, 0.13839513098940912, 0.16375828818942398, 0.25211489364150746]",0.9119645422138427
similarity_cluster,Classical multiview,esol,regression,8,row_centred,15,8,7.068416421844615,6.226923538679925,0.053331241600857976,0.545255983874456,"[0.06815699798430701, 0.07009122341029049, 0.07296163016089027, 0.09739951135060827, 0.11630528860743118, 0.12461213262398958, 0.1718204887006198, 0.27865272716186346]",0.8835520527305769
similarity_cluster,Classical multiview,esol,regression,8,shared_morgan_linear_relative,15,8,2.6591652394163403,1.7159727472851622,0.7359244695440206,0.2025808472468095,"[0.029107663575872075, 0.029492564784352984, 0.03289855954947504, 0.035287701961023, 0.044753952268404146, 0.07251374364973442, 0.7559458142111383]",0.33239565492704254
similarity_cluster,Classical multiview,esol,regression,8,fixed_morgan_rf_relative,15,8,6.8644522661645855,6.728870026193187,0.030291568430748733,0.7678774096503833,"[0.11071432801288643, 0.11600531931894306, 0.12633926727980488, 0.12935713509378463, 0.15231442110065152, 0.17053125911784534, 0.1947382700760841]",0.8580565332705732
similarity_cluster,Classical multiview,esol,regression,8,registry_median_relative,15,8,3.1515020408185257,1.9812302684930032,0.6581271624287748,0.32430406470596074,"[0.046391825192788276, 0.04652027966468642, 0.04773052136231518, 0.04840489463800591, 0.0510256210645895, 0.06023597889104356, 0.6996908791865712]",0.3939377551023157
similarity_cluster,Classical multiview,esol,regression,8,within_unit_rank,15,8,6.999999999999998,7.0,0.0,1.0,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.8749999999999998
similarity_cluster,Classical multiview,esol,regression,16,raw,15,16,9.76310676855129,6.2965389530659515,0.2548977437988046,0.34028297717685757,"[0.021267686073553588, 0.02126768607355361, 0.021316679288898674, 0.021638642351100006, 0.021700910800963195, 0.02260764794544148, 0.02290652926545663, 0.02420692529783928, 0.03217609844660291, 0.03787554435701694, 0.043359000973896264, 0.05046102112448808, 0.08392626839232624, 0.10674822940223835, 0.1347792229771995, 0.33376190722942534]",0.6101941730344557
similarity_cluster,Classical multiview,esol,regression,16,row_centred,15,16,12.957443152103192,10.587431066291211,-0.007301209683833779,0.5162806206255816,"[0.03226753878909885, 0.03226753878909887, 0.03234028883954376, 0.032581002777536935, 0.032774806138607164, 0.033378043577120806, 0.03434265735575752, 0.03544267185445552, 0.03778120861580802, 0.0408757487102692, 0.05937340062905743, 0.07046814066604502, 0.08930994176322714, 0.11069245310803004, 0.1450585432612285, 0.18104601512511537]",0.8098401970064495
similarity_cluster,Classical multiview,esol,regression,16,shared_morgan_linear_relative,15,16,3.0564636710823296,1.6557426612851895,0.7807054369939872,0.19609099882431705,"[0.013072733254954469, 0.013075531595325077, 0.013088629131876701, 0.013094033503423901, 0.013130363684198497, 0.013160410660451127, 0.013270277850259216, 0.013472801647294162, 0.013775540788916392, 0.014310195412239473, 0.016185043735202107, 0.01968714478204461, 0.02192790510258457, 0.03423416012664051, 0.7745152287245892]",0.1910289794426456
similarity_cluster,Classical multiview,esol,regression,16,fixed_morgan_rf_relative,15,16,9.785387244607238,6.7086363072458,0.18626690218678363,0.3627581680078093,"[0.024183877867187273, 0.024302048458856085, 0.024471719651577947, 0.024645076783419016, 0.02518682027515398, 0.02723277915149228, 0.028542036918494468, 0.030145123246337495, 0.035963655610803745, 0.04358083651737206, 0.06954062645472694, 0.07421960372301523, 0.09528840400963516, 0.16837036844824557, 0.3043270228836827]",0.6115867027879524
similarity_cluster,Classical multiview,esol,regression,16,registry_median_relative,15,16,10.043317831309468,6.8002561474583505,0.24583353796140825,0.35698046852563614,"[0.023798697901709086, 0.023855176787004183, 0.02408601254362933, 0.024942435704547315, 0.025903831066975493, 0.027330275994523163, 0.031243402290767476, 0.03601011390974054, 0.04322225052774374, 0.04824475733404705, 0.06604563377192155, 0.0928907304981096, 0.10329265464888404, 0.11187589287517444, 0.31725813414522297]",0.6277073644568417
similarity_cluster,Classical multiview,esol,regression,16,within_unit_rank,15,16,14.20208751673936,13.303228295204942,-0.01673564587559322,0.7657009577416949,"[0.051046730516112956, 0.05104673051611298, 0.051046730516113, 0.051046730516113, 0.05104673051611306, 0.05239037776730443, 0.05327166928521938, 0.05416337435523121, 0.05769582461871529, 0.05821668073430523, 0.06828392107250843, 0.0791472510775769, 0.08384132904378097, 0.10035353503515462, 0.13740238442963845]",0.88763046979621
similarity_cluster,Classical multiview,esol,regression,32,raw,15,32,12.884689062334619,6.592959009103985,0.26379460176738095,0.29224812082803464,"[0.009132753775876058, 0.009132753775876062, 0.009132753775876065, 0.009132753775876069, 0.009132753775876069, 0.009132753775876072, 0.009132753775876077, 0.009132753775876083, 0.009132753775876084, 0.009132753775876084, 0.009132753775876086, 0.00913275377587609, 0.00913275377587609, 0.009132753775876091, 0.009132753775876096, 0.009132753775876102, 0.009132753775876112, 0.009132753775876133, 0.009832400871868163, 0.010459914783017499, 0.011850077271587506, 0.012099108246490752, 0.01299449360569681, 0.01398092262552113, 0.019621753862232895, 0.022076618693763053, 0.03149222140676501, 0.03725795734060417, 0.0737199352402687, 0.10673702108670252, 0.14416096174156945, 0.32932704525814305]",0.40264653319795685
