pool,task,task_type,candidate_count,candidate_selection_entropy,candidate_selection_entropy_normalized,entropy_denominator_candidate_count,representation_selection_entropy_normalized,family_selection_entropy_normalized,modal_candidate,modal_candidate_share,leave_one_seed_out_agreement,mean_adjacent_fold_switches_per_seed,max_adjacent_fold_switches,audit_fit_seconds_mean,audit_fit_seconds_low,audit_fit_seconds_high,selected_gain_per_audit_hour_mean
Modern-augmented,esol,regression,4,0.6365141682948128,0.4591479170272447,4,0.9182958340544894,-0.0,chemberta_mtr__linear,0.6666666666666666,0.6666666666666666,0.8,1,108.08411952668489,106.65013367991972,110.42241668007723,46.39256371498287
Modern-augmented,esol,regression,8,0.3926744672275521,0.1888365021843017,8,0.5665095065529053,-0.0,rdkit2d__linear,0.8666666666666667,0.8666666666666667,0.4,1,108.8541486533669,107.43692194657632,111.13479343346168,68.3475981997839
Modern-augmented,esol,regression,16,0.2449300267946353,0.0883398337553553,16,0.3533593350214213,0.3533593350214213,rdkit2d__random_forest,0.9333333333333332,0.9333333333333332,0.2,1,111.27160508002854,109.92736137993634,113.4621192534726,66.98139697431661
Modern-augmented,esol,regression,32,0.6365141682948128,0.1836591668108979,32,0.9182958340544894,-0.0,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2,138.7093435266521,137.77459710673045,139.80950066664957,56.96848477148593
Classical multiview,lipo,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0,1.276953826697232,1.254379453378108,1.3005400200917692,693.4592625775406
Classical multiview,lipo,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,rdkit2d__random_forest,0.6666666666666666,0.6666666666666666,1.0,1,3.9773404400873296,3.89414054006338,4.077393673406912,218.3790162030088
Classical multiview,lipo,regression,16,-0.0,-0.0,16,-0.0,-0.0,multiview__lightgbm,1.0,1.0,0.0,0,16.624214260051183,16.135796759925626,17.163865586863054,79.580355004165
Classical multiview,lipo,regression,32,0.3926744672275521,0.113301901310581,32,-0.0,0.5665095065529053,multiview__lightgbm,0.8666666666666667,0.8666666666666667,0.8,2,46.68793490000147,45.68906765994228,47.60841480003049,27.74170188098568
Homogeneous Morgan,lipo,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0,0.4570511666902644,0.4394815800401064,0.4757541533714775,290.59241703276774
Homogeneous Morgan,lipo,regression,8,0.7298712099831165,0.3509938583767565,8,-0.0,0.7219280948873623,hom::order05,0.7333333333333333,0.7333333333333333,0.8,2,1.9925245733233157,1.842812926725793,2.1422362199208376,135.19395276753738
Homogeneous Morgan,lipo,regression,16,-0.0,-0.0,16,-0.0,-0.0,hom::order14,1.0,1.0,0.0,0,19.119661120170104,17.051505426783116,21.1878168135571,22.925009529012065
Homogeneous Morgan,lipo,regression,32,0.5799151714181009,0.1673281483882334,32,-0.0,-0.0,hom::order23,0.7333333333333333,0.7333333333333333,1.0,2,42.09353688684448,37.67107044019891,46.51600333349003,12.042223171315875
Modern-augmented,lipo,regression,4,0.5799151714181009,0.4183203709705836,4,0.8366407419411673,-0.0,chemberta_mtr__linear,0.7333333333333333,0.7333333333333333,0.8,2,185.2570347399684,175.51676705330996,194.31149167998228,3.3619016011930243
Modern-augmented,lipo,regression,8,0.6277052571971504,0.3018624205660867,8,0.5713619478607342,-0.0,rdkit2d__linear,0.8,0.8,0.6,1,187.53127846001104,177.7868089400775,196.60722758001648,4.206111647838988
Modern-augmented,lipo,regression,16,0.6365141682948128,0.2295739585136223,16,-0.0,0.9182958340544894,rdkit2d__random_forest,0.6666666666666666,0.6666666666666666,1.0,1,192.713819520094,181.54535449350948,201.8395343200808,4.541601535907225
Modern-augmented,lipo,regression,32,-0.0,-0.0,32,-0.0,-0.0,multiview__lightgbm,1.0,1.0,0.0,0,254.19300012005252,244.3432133868492,263.69862856667794,5.207531423520988
Classical multiview,tdc_caco2_wang,regression,4,-0.0,-0.0,4,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0,0.2868997332717594,0.2846240399793403,0.2899626666291919,9889.533489323429
Classical multiview,tdc_caco2_wang,regression,8,1.0606018056124555,0.51004165510499,8,0.8366407419411673,0.8366407419411673,rdkit2d__random_forest,0.4666666666666667,0.2666666666666666,1.2,2,1.89308910659359,1.8808500466713045,1.905131506555092,1484.806204198381
Classical multiview,tdc_caco2_wang,regression,16,0.953271014705891,0.3438198413848448,16,0.8366407419411673,0.5665095065529053,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2,6.035022826686809,5.984219260040357,6.086912133307971,483.4404171112939
Classical multiview,tdc_caco2_wang,regression,32,1.454867109266288,0.419785912738187,32,0.9709505944546688,0.7919799924384826,multiview__xgboost,0.4,0.2666666666666666,1.8,2,18.021838913376747,17.654489713352326,18.631371426687103,161.7748723008784
Homogeneous Morgan,tdc_caco2_wang,regression,4,-0.0,-0.0,4,-0.0,-0.0,hom::order03,1.0,1.0,0.0,0,0.1336096066283054,0.1272478867011757,0.1399713265554351,19073.545486555267
Homogeneous Morgan,tdc_caco2_wang,regression,8,0.6365141682948128,0.3060986113514965,8,-0.0,0.9182958340544894,hom::order03,0.6666666666666666,0.6666666666666666,2.0,2,1.3958851066185147,1.3027308000329247,1.4890394132041047,1784.9399632210002
Homogeneous Morgan,tdc_caco2_wang,regression,16,0.6365141682948128,0.2295739585136223,16,-0.0,0.9182958340544894,hom::order14,0.6666666666666666,0.6666666666666666,1.0,1,11.835954453400332,10.497793380132254,13.174115526668412,217.67674377617897
Homogeneous Morgan,tdc_caco2_wang,regression,32,0.970115783986938,0.2799162461292129,32,-0.0,0.9182958340544894,hom::order14,0.5333333333333333,0.5333333333333333,1.4,2,21.873355346801688,19.591283180168823,24.155427513434557,117.6446942854514
Modern-augmented,tdc_caco2_wang,regression,4,-0.0,-0.0,4,-0.0,-0.0,maccs__linear,1.0,1.0,0.0,0,149.1596811599564,145.78704147996615,152.53232083994664,16.52340088860746
Modern-augmented,tdc_caco2_wang,regression,8,-0.0,-0.0,8,-0.0,-0.0,rdkit2d__linear,1.0,1.0,0.0,0,149.78119756662443,146.41454707335217,153.1478480598967,18.94050145381221
Modern-augmented,tdc_caco2_wang,regression,16,1.0606018056124555,0.3825312413287425,16,0.8366407419411673,0.8366407419411673,rdkit2d__random_forest,0.4666666666666667,0.2666666666666666,1.2,2,151.99174791996677,148.62568131332904,155.3578145266045,18.495503199158215
Modern-augmented,tdc_caco2_wang,regression,32,0.953271014705891,0.2750558731078758,32,0.8366407419411673,0.5665095065529053,rdkit2d__lightgbm,0.6666666666666666,0.6666666666666666,2.0,2,173.5278464666917,167.6916130866273,179.856162800019,16.87738413796341
