anchor_scheme,pool,task,task_type,candidate_count,normalization,metric,normalized_mean,minimum_absolute_denominator,invalid_outer_units,normalized_low,normalized_high
shared_morgan_linear,Classical multiview,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,1.0484057011169274,0.0442274305555555,0,1.0341961217853453,1.0626152804485094
shared_morgan_linear,Classical multiview,bace,classification,8,homogeneous_audit_best,selected_model_gain,0.9709880361495398,0.0442274305555555,0,0.919393938433538,1.0262866836172262
shared_morgan_linear,Classical multiview,bace,classification,8,raw,cross_fitted_selection_gap,0.0021720233338956,1.0,0,-0.0011806526806526,0.0065152738939809
shared_morgan_linear,Classical multiview,bace,classification,8,raw,oracle_opportunity_gain,0.0788470273410275,1.0,0,0.0721799149745695,0.0860434362386486
shared_morgan_linear,Classical multiview,bace,classification,8,raw,selected_model_gain,0.073809351188457,1.0,0,0.0652078974153885,0.0828986217221859
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.0166989963445784,0.0140449497876955,0,-0.1014833007438418,0.1125199666956497
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,0.2508287839938281,0.0140449497876955,0,0.059283037203434,0.407485368563821
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,endpoint_MAD,selected_model_gain,-0.0499599400178848,0.0140449497876955,0,-0.1051977690420138,0.0051902303502997
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,-0.1374246810380128,0.0002312005086411,0,-1.4614934729833606,1.489100661441816
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0002312005086411,0,1.0,1.0
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,selected_model_gain,0.1509210230771957,0.0002312005086411,0,-3.5078124153407138,2.923881662901563
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,raw,cross_fitted_selection_gap,0.0002345365651645,1.0,0,-0.0013917691297217,0.0015803372823535
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,raw,oracle_opportunity_gain,0.003522877676502,1.0,0,0.0008326272807843,0.0057231115406994
fixed_morgan_rf,Homogeneous Morgan,bace,classification,8,raw,selected_model_gain,-0.0007016848489474,1.0,0,-0.0014352355818959,7.289652465653312e-05
registry_median_order_4,Homogeneous Morgan,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.0120208718788689,0.0195107782137499,0,-0.0730533578733619,0.0809981675277236
registry_median_order_4,Homogeneous Morgan,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,3.0268699296727632,0.0195107782137499,0,2.6458494715995244,3.3779829769237004
registry_median_order_4,Homogeneous Morgan,bace,classification,8,endpoint_MAD,selected_model_gain,2.810345376978482,0.0195107782137499,0,2.487715649681481,3.089481154145067
registry_median_order_4,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,0.0032140024962806,0.0258680555555556,0,-0.0227246175104287,0.0271389247075291
registry_median_order_4,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0258680555555556,0,1.0,1.0
registry_median_order_4,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,selected_model_gain,0.9323914678672128,0.0258680555555556,0,0.9070193912868334,0.963260437033106
registry_median_order_4,Homogeneous Morgan,bace,classification,8,raw,cross_fitted_selection_gap,0.0002345365651645,1.0,0,-0.0013926080980596,0.0017707405867542
registry_median_order_4,Homogeneous Morgan,bace,classification,8,raw,oracle_opportunity_gain,0.059056587879714,1.0,0,0.0516225822273457,0.065907076672581
registry_median_order_4,Homogeneous Morgan,bace,classification,8,raw,selected_model_gain,0.0548320253542645,1.0,0,0.0485372682998101,0.0602781815940845
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.0171122777926571,0.0137057478850158,0,-0.1039948987238512,0.115304709791234
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,5.517842996703068,0.0137057478850158,0,5.046791136779001,6.003566369904724
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,endpoint_MAD,selected_model_gain,5.209610088809868,0.0137057478850158,0,4.869030066269097,5.609591948817212
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,0.0026155663099548,0.0442274305555555,0,-0.0169781169076697,0.0193017251532248
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,1.0,0.0442274305555555,0,1.0,1.0
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,homogeneous_audit_best,selected_model_gain,0.9455505666121904,0.0442274305555555,0,0.9227366175477038,0.9717546131139022
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,raw,cross_fitted_selection_gap,0.0002345365651645,1.0,0,-0.0014253278632368,0.0015803372823535
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,raw,oracle_opportunity_gain,0.0756261649819128,1.0,0,0.0691700469490256,0.0822753698306214
shared_morgan_linear,Homogeneous Morgan,bace,classification,8,raw,selected_model_gain,0.0714016024564632,1.0,0,0.0666814539596877,0.0768836529883036
fixed_morgan_rf,Modern-augmented,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.7471588509053413,0.0140449497876955,0,0.6119741997334689,0.901820455392477
fixed_morgan_rf,Modern-augmented,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,-1.5677353597401953,0.0140449497876955,0,-2.0558901750224363,-1.203075373284118
fixed_morgan_rf,Modern-augmented,bace,classification,8,endpoint_MAD,selected_model_gain,-2.579943574784788,0.0140449497876955,0,-3.150384044008084,-2.136661343373897
fixed_morgan_rf,Modern-augmented,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,-6.445746579260098,0.0002312005086411,0,-15.952646252285456,0.6028827163248571
fixed_morgan_rf,Modern-augmented,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,6.074983390363838,0.0002312005086411,0,-12.227145096385998,24.47161808095323
fixed_morgan_rf,Modern-augmented,bace,classification,8,homogeneous_audit_best,selected_model_gain,13.742317035831274,0.0002312005086411,0,-12.338452096075166,42.06889690520973
fixed_morgan_rf,Modern-augmented,bace,classification,8,raw,cross_fitted_selection_gap,0.0104938085443978,1.0,0,0.0085951469066217,0.0127665960545052
fixed_morgan_rf,Modern-augmented,bace,classification,8,raw,oracle_opportunity_gain,-0.0220187644079458,1.0,0,-0.0288748742772067,-0.0168971332085885
fixed_morgan_rf,Modern-augmented,bace,classification,8,raw,selected_model_gain,-0.0362351779629401,1.0,0,-0.0442469857100507,-0.0300093012809965
registry_median_order_4,Modern-augmented,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.537846744472882,0.0195107782137499,0,0.4405332689684538,0.6491808207105697
registry_median_order_4,Modern-augmented,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,0.8143327907333072,0.0195107782137499,0,0.395359518155339,1.3016207261503867
registry_median_order_4,Modern-augmented,bace,classification,8,endpoint_MAD,selected_model_gain,0.0856886844220865,0.0195107782137499,0,-0.2723698218411071,0.4566605152131157
registry_median_order_4,Modern-augmented,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,0.2243875744951738,0.0258680555555556,0,0.115506028402058,0.3969220679262613
registry_median_order_4,Modern-augmented,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,0.3666274445311219,0.0258680555555556,0,0.1179875826030231,0.7201757078293788
registry_median_order_4,Modern-augmented,bace,classification,8,homogeneous_audit_best,selected_model_gain,0.0811073307466917,0.0258680555555556,0,-0.0945258192940484,0.2834714390098656
registry_median_order_4,Modern-augmented,bace,classification,8,raw,cross_fitted_selection_gap,0.0104938085443978,1.0,0,0.0085951469066217,0.0127665960545052
registry_median_order_4,Modern-augmented,bace,classification,8,raw,oracle_opportunity_gain,0.0158882664721815,1.0,0,0.0081518943788193,0.0253956333063403
registry_median_order_4,Modern-augmented,bace,classification,8,raw,selected_model_gain,0.0016718529171873,1.0,0,-0.0053141471860604,0.0089098020312998
shared_morgan_linear,Modern-augmented,bace,classification,8,endpoint_MAD,cross_fitted_selection_gap,0.7656501952637269,0.0137057478850158,0,0.619781856261009,0.9241395011615154
shared_morgan_linear,Modern-augmented,bace,classification,8,endpoint_MAD,oracle_opportunity_gain,3.6542714281371618,0.0137057478850158,0,3.039413099354665,4.316123787102614
shared_morgan_linear,Modern-augmented,bace,classification,8,endpoint_MAD,selected_model_gain,2.6170121939631072,0.0137057478850158,0,1.897472985331572,3.4471843430187965
shared_morgan_linear,Modern-augmented,bace,classification,8,homogeneous_audit_best,cross_fitted_selection_gap,0.149958936303223,0.0442274305555555,0,0.0845582132912599,0.2416875204047369
shared_morgan_linear,Modern-augmented,bace,classification,8,homogeneous_audit_best,oracle_opportunity_gain,0.6665266641835225,0.0442274305555555,0,0.5667556238781973,0.7620857501481237
