pool,task,task_type,candidate_count,oracle_opportunity_gain_mean,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_low,selected_model_gain_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,chance_adjusted_hit3_mean,chance_adjusted_mrr_mean,audit_fit_seconds_mean,entropy_rank,participation_rank,relative_entropy_rank,ledoit_wolf_shrinkage_alpha
Classical multiview,esol,regression,16,2.2439746887799368,2.2257967108585115,2.262657938692011,2.1907526338180223,2.1907526338180223,2.1907526338180223,0.0105332105253925,0.0105332105253925,0.0105332105253925,-0.1487179487179487,-0.0360571309761526,6.688762873310283,4.5405960105384775,3.0820437051322416,0.2837872506586548,0.1228504312912925
Full modern-augmented,esol,regression,16,2.212110615271258,2.2081959593056677,2.215826999328012,2.065462928377124,1.8855797221607349,2.158535078099611,0.1358229159662911,0.042750766243804,0.3150152172942299,0.5076923076923077,0.3336470161884147,111.27160508002854,8.031533342817927,5.220203734121145,0.5019708339261204,0.2456909573071075
+ChemBERTa,esol,regression,32,2.249501277887353,2.2300860698865845,2.2689164858881217,2.19242897117381,2.1907526338180223,2.1957816458853854,0.0160095139843823,-0.0123405724650966,0.0349587096708316,0.0436781609195402,0.0254754316154194,21.15670830667562,11.547543385479342,6.156064835849495,0.3608607307962294,0.2421181106043203
+D-MPNN,esol,regression,32,2.259489925753526,2.2396171744763698,2.279362677030682,2.1787075479202,2.158786832845576,2.195457016190524,0.0275612135431411,-0.0062005456959468,0.0548673354476155,0.0436781609195402,0.0287494804585909,124.82535278666764,9.129061714007277,4.954426902594268,0.2852831785627273,0.1955446109871226
+MoLFormer,esol,regression,32,2.2575886077625986,2.2377484535859127,2.277428761939284,2.1766218329929923,2.152850986960476,2.194607774560377,0.0265638303770601,-0.0087900970853446,0.0564563158620644,0.0436781609195402,0.0551531069961482,26.212685439980124,11.681838505310628,6.259410522546853,0.3650574532909571,0.2398660906521582
Classical multiview,esol,regression,32,2.259489925753526,2.2396171744763693,2.279362677030682,2.1787075479202,2.158786832845576,2.195457016190524,0.0275612135431411,-0.0071875689502717,0.0543232757043816,0.0436781609195402,0.0176815300594169,18.433431006638173,9.07244497070812,4.893854774855912,0.2835139053346288,0.1944375574224618
Full modern-augmented,esol,regression,32,2.2439746887799368,2.2257967108585115,2.262657938692011,2.1907526338180223,2.1907526338180223,2.1907526338180223,0.0105332105253925,0.0105332105253925,0.0105332105253925,-0.0298850574712643,0.0344738221168324,138.7093435266521,11.465746130168425,6.04454245089558,0.3583045665677632,0.2372887927710069
+ChemBERTa,lipo,regression,16,0.2942030256595266,0.2922612533797827,0.2976553719448235,0.2415185815329056,0.239126975068119,0.2445401016360911,0.0414641163671539,0.0403890600383452,0.0421490074984809,0.5076923076923078,0.2967839370980626,8.180080500070467,5.947581707566806,3.74046893452668,0.3717238567229253,0.1696340173492455
+D-MPNN,lipo,regression,16,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.0,0.0,0.0,1.0,1.0,197.43286104002811,3.958618647883761,2.48229680530987,0.247413665492735,0.1031953773306049
+MoLFormer,lipo,regression,16,0.3536144873668339,0.3536144873668339,0.3536144873668339,0.3536144873668339,0.3536144873668339,0.3536144873668339,0.0,0.0,0.0,1.0,1.0,32.971538353393164,5.08250218638743,3.129533351134331,0.3176563866492143,0.151049822995323
Classical multiview,lipo,regression,16,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.0,0.0,0.0,1.0,1.0,16.624214260051183,3.8669893032228657,2.4880251723762763,0.2416868314514291,0.1028874353155664
Full modern-augmented,lipo,regression,16,0.2942030256595266,0.2922181574224846,0.2976674216563185,0.2415185815329056,0.239126975068119,0.244497899458073,0.0414641163671539,0.040385951589724,0.0421490074984809,0.5076923076923078,0.3106033989590498,192.713819520094,7.52643828656308,4.745004751343562,0.4704023929101925,0.2247388655396516
+ChemBERTa,lipo,regression,32,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.0,0.0,0.0,1.0,1.0,49.91479223337179,10.751636764895492,5.879175581085504,0.3359886489029841,0.2328582339584582
+D-MPNN,lipo,regression,32,0.3705285426525414,0.3667891360759991,0.3750762014415948,0.3587483801898342,0.350239815274379,0.3663409618826717,0.0075925816928374,0.0,0.0161011466082926,1.0,0.7709500599640311,228.10817465334355,8.651833598010844,4.420339104986939,0.2703697999378389,0.209843478206477
+MoLFormer,lipo,regression,32,0.368207980034783,0.3663409618826717,0.3719420163390058,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.0,0.0,0.0,1.0,0.9491000133253402,63.34918410006212,9.569718714226672,5.068529499421097,0.2990537098195835,0.2194849550458865
Classical multiview,lipo,regression,32,0.3705285426525414,0.3667891360759991,0.3750762014415948,0.3587483801898342,0.350239815274379,0.3663409618826717,0.0075925816928374,0.0,0.0161011466082926,1.0,0.7709500599640311,46.68793490000147,8.560971939105032,4.380611028928926,0.2675303730970322,0.2081828134621489
Full modern-augmented,lipo,regression,32,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.3663409618826717,0.0,0.0,0.0,1.0,1.0,254.19300012005252,11.001365784881203,5.9760582150885,0.3437926807775376,0.2418692313252477
+ChemBERTa,tdc_caco2_wang,regression,16,0.820127766551552,0.8179497797583581,0.822371017772731,0.7803594040670179,0.772530666976657,0.7910845672405584,0.016783847811387,0.0080945909985744,0.0222347394000677,0.4256410256410256,0.1530548252671634,3.082313440002809,6.554674946885199,3.9783284861733694,0.4096671841803249,0.1781985839779798
