pool,task,task_type,candidate_count,frequency_level,selected_value,selected_count,selected_proportion,n_outer_units
Classical multiview,clintox,classification,32,candidate,maccs__xgboost,3,0.2,15
Classical multiview,clintox,classification,32,candidate,maccs__lightgbm,2,0.1333333333333333,15
Classical multiview,clintox,classification,32,candidate,multiview__lightgbm_alt,1,0.0666666666666666,15
Classical multiview,clintox,classification,32,learner_family,lightgbm,8,0.5333333333333333,15
Classical multiview,clintox,classification,32,learner_family,xgboost,6,0.4,15
Classical multiview,clintox,classification,32,learner_family,lightgbm_alt,1,0.0666666666666666,15
Classical multiview,clintox,classification,32,representation,multiview,10,0.6666666666666666,15
Classical multiview,clintox,classification,32,representation,maccs,5,0.3333333333333333,15
Homogeneous Morgan,clintox,classification,4,candidate,hom::order01,15,1.0,15
Homogeneous Morgan,clintox,classification,4,learner_family,linear,15,1.0,15
Homogeneous Morgan,clintox,classification,4,representation,morgan512,15,1.0,15
Homogeneous Morgan,clintox,classification,8,candidate,hom::order06,8,0.5333333333333333,15
Homogeneous Morgan,clintox,classification,8,candidate,hom::order07,7,0.4666666666666667,15
Homogeneous Morgan,clintox,classification,8,learner_family,bagging,15,1.0,15
Homogeneous Morgan,clintox,classification,8,representation,morgan512,15,1.0,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order06,3,0.2,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order10,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order12,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order11,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order09,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order07,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order08,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order15,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,candidate,hom::order13,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,16,learner_family,bagging,13,0.8666666666666667,15
Homogeneous Morgan,clintox,classification,16,learner_family,boosting,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,16,representation,morgan512,15,1.0,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order27,3,0.2,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order12,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order28,2,0.1333333333333333,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order21,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order07,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order09,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order11,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order23,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order26,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order31,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,candidate,hom::order06,1,0.0666666666666666,15
Homogeneous Morgan,clintox,classification,32,learner_family,boosting,9,0.6,15
Homogeneous Morgan,clintox,classification,32,learner_family,bagging,6,0.4,15
Homogeneous Morgan,clintox,classification,32,representation,morgan512,15,1.0,15
Modern-augmented,clintox,classification,4,candidate,maccs__linear,15,1.0,15
Modern-augmented,clintox,classification,4,learner_family,linear,15,1.0,15
Modern-augmented,clintox,classification,4,representation,maccs,15,1.0,15
Modern-augmented,clintox,classification,8,candidate,maccs__linear,9,0.6,15
Modern-augmented,clintox,classification,8,candidate,molformer__linear,5,0.3333333333333333,15
Modern-augmented,clintox,classification,8,candidate,rdkit2d__linear,1,0.0666666666666666,15
Modern-augmented,clintox,classification,8,learner_family,linear,15,1.0,15
Modern-augmented,clintox,classification,8,representation,maccs,9,0.6,15
Modern-augmented,clintox,classification,8,representation,molformer,5,0.3333333333333333,15
Modern-augmented,clintox,classification,8,representation,rdkit2d,1,0.0666666666666666,15
Modern-augmented,clintox,classification,16,candidate,maccs__random_forest,7,0.4666666666666667,15
Modern-augmented,clintox,classification,16,candidate,multiview__random_forest,5,0.3333333333333333,15
Modern-augmented,clintox,classification,16,candidate,rdkit2d__random_forest,3,0.2,15
Modern-augmented,clintox,classification,16,learner_family,random_forest,15,1.0,15
Modern-augmented,clintox,classification,16,representation,maccs,7,0.4666666666666667,15
Modern-augmented,clintox,classification,16,representation,multiview,5,0.3333333333333333,15
Modern-augmented,clintox,classification,16,representation,rdkit2d,3,0.2,15
Modern-augmented,clintox,classification,32,candidate,multiview__lightgbm,13,0.8666666666666667,15
