design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap,paired_homogeneous_best_gain,homogeneous_normalized_selected_gain,homogeneous_normalized_oracle_opportunity,homogeneous_normalized_cross_fitted_gap,homogeneous_denominator_valid
equal_K,Classical multiview,clintox,classification,11,2,4,4,registry_median_order_2,maccs__linear,maccs,linear,maccs__linear,0.8268630378715894,0.8268630378715894,0.8268630378715894,0.0,0.0,0.0,0.06915976652640143,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,1.2268700000131494,0.0,0.0,,rdkit2d__linear,0.8150366499253427,-0.011826387946246686,0.0,,,,False
equal_K,Classical multiview,clintox,classification,11,2,8,8,registry_median_order_4,multiview__random_forest,multiview,random_forest,maccs__random_forest,0.7844611103569974,0.8243688068413194,0.8685523279489616,0.08409121759196425,0.03990769648432202,0.04418352110764223,0.11084905660377364,0.3985917648823679,1,1.0,2,0.5,0.33973214285714287,0.2427315753887762,3.8505751999327904,0.010364087029132319,37.31071330487635,0.4745762711864407,multiview__random_forest,0.8243688068413194,0.0,0.019139405456766734,2.0851063829787178,4.393617021276584,0.0,True
equal_K,Classical multiview,clintox,classification,11,2,16,16,registry_median_order_8,multiview__lightgbm,multiview,lightgbm,multiview__lightgbm,0.8243688068413194,0.8899653861816208,0.8899653861816208,0.06559657934030139,0.06559657934030139,0.0,0.1322621148364328,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,10.756867600022813,0.0060981116231422485,21.953201843312097,1.0,multiview__lightgbm,0.8899653861816208,0.0,0.04920591828424059,1.3331034482758612,1.3331034482758612,0.0,True
equal_K,Classical multiview,clintox,classification,11,2,32,32,registry_median_order_16,multiview__xgboost,multiview,xgboost,multiview__lightgbm,0.8414890728926293,0.879937559386453,0.8899653861816208,0.04847631328899149,0.03844848649382371,0.010027826795167782,0.1322621148364328,0.07581783194298136,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,35.079131900391076,0.0010960501132981307,3.9457804078732703,0.7931396569828464,multiview__lightgbm,0.8899653861816208,0.010027826795167782,0.0397210533460024,0.9679624092268246,1.2204186245194386,0.25245621529261386,True
equal_K,Classical multiview,clintox,classification,11,3,4,4,registry_median_order_2,maccs__linear,maccs,linear,maccs__linear,0.8888180272108843,0.8888180272108843,0.8888180272108843,0.0,0.0,0.0,0.1840986394557823,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,1.5563403998967251,0.0,0.0,,rdkit2d__linear,0.8370535714285715,-0.05176445578231281,0.0,,,,False
equal_K,Classical multiview,clintox,classification,11,3,8,8,registry_median_order_4,rdkit2d__random_forest,rdkit2d,random_forest,maccs__random_forest,0.798327664399093,0.8929280045351474,0.9240362811791384,0.1257086167800454,0.09460034013605445,0.031108276643990962,0.21931689342403637,0.14184168012859405,1,1.0,3,0.3333333333333333,0.33973214285714287,-0.009691232814965117,4.208541499916462,0.02247817685483967,80.9214366774228,0.7525366403607665,multiview__random_forest,0.9088010204081632,0.015873015873015817,0.0647321428571429,1.4614121510673228,1.9419813902572518,0.24521072796934762,True
equal_K,Classical multiview,clintox,classification,11,3,16,16,registry_median_order_8,multiview__lightgbm,multiview,lightgbm,multiview__lightgbm,0.9088010204081632,0.9451530612244898,0.9451530612244898,0.03635204081632659,0.03635204081632659,0.0,0.24043367346938782,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,12.024959600064903,0.003023048893746835,10.882976017488607,1.0,multiview__lightgbm,0.9451530612244898,0.0,0.017857142857142794,2.0357142857142962,2.0357142857142962,0.0,True
equal_K,Classical multiview,clintox,classification,11,3,32,32,registry_median_order_16,multiview__xgboost,multiview,xgboost,multiview__lightgbm,0.9123795351473922,0.926516439909297,0.9451530612244898,0.0327735260770976,0.014136904761904767,0.018636621315192836,0.24043367346938782,0.07751252578806583,0,-0.10344827586206896,4,0.25,0.12682797485739125,0.1410627248651169,39.779335000377614,0.0003553831345287841,1.2793792843036227,0.4313513513513502,multiview__lightgbm,0.9451530612244898,0.018636621315192836,0.0808886054421768,0.17477003942181363,0.4051686377573384,0.23039859833552478,True
equal_K,Classical multiview,clintox,classification,23,1,4,4,registry_median_order_2,maccs__linear,maccs,linear,maccs__linear,0.8823351482153661,0.8823351482153661,0.8823351482153661,0.0,0.0,0.0,0.15893181228934417,0.0,1,1.0,1,1.0,0.5208333333333334,1.0,1.6084454999072468,0.0,0.0,,rdkit2d__linear,0.8471610059631838,-0.035174142252182294,0.0,,,,False
equal_K,Classical multiview,clintox,classification,23,1,8,8,registry_median_order_4,maccs__random_forest,maccs,random_forest,maccs__linear,0.7440152104398929,0.8647912885662432,0.8823351482153661,0.13831993777547313,0.12077607812635027,0.01754385964912286,0.15893181228934417,0.11038607939027907,0,-0.6,4,0.25,0.33973214285714287,-0.13590263691683574,4.319518899545073,0.02796053934133042,100.65794162878949,0.8731646360512335,multiview__random_forest,0.8583959899749373,-0.006395298591305942,0.08478091781177077,1.4245667686034653,1.6314984709480125,-0.07543323139653525,True
