task,task_type,seed,outer_fold,candidate_count,selected_candidate,selected_utility,fixed_reference_utility,observed_audit_best_utility,observed_audit_best_gain,selected_model_gain,incremental_observed_audit_gap,realization_ratio
tdc_pgp_broccatelli,classification,11,2,8,rf_60_sqrt,0.8900929621989445,0.8863557210598226,0.8989203525598093,0.012564631499986656,0.003737241139121883,0.008827390360864773,0.2974413646055479
tdc_pgp_broccatelli,classification,11,2,16,rf_60_sqrt,0.8900929621989445,0.8863557210598226,0.899777640849787,0.01342191978996432,0.003737241139121883,0.009684678650842438,0.2784431137724611
tdc_pgp_broccatelli,classification,11,2,32,rf_60_sqrt,0.8900929621989445,0.8863557210598226,0.899777640849787,0.01342191978996432,0.003737241139121883,0.009684678650842438,0.2784431137724611
tdc_pgp_broccatelli,classification,11,3,4,logreg_l2_c1,0.8967455621301774,0.9078402366863906,0.9078402366863906,0.0,-0.011094674556213158,0.011094674556213158,
tdc_pgp_broccatelli,classification,11,3,8,rf_120_d20_leaf2,0.9157396449704142,0.9078402366863906,0.9198224852071004,0.011982248520709837,0.007899408284023579,0.004082840236686258,0.659259259259264
tdc_pgp_broccatelli,classification,11,3,16,et_120_d20_leaf2,0.9269526627218936,0.9078402366863906,0.929792899408284,0.021952662721893446,0.019112426035503005,0.0028402366863904405,0.8706199460916482
tdc_pgp_broccatelli,classification,11,3,32,et_120_d20_leaf2,0.9269526627218936,0.9078402366863906,0.929792899408284,0.021952662721893446,0.019112426035503005,0.0028402366863904405,0.8706199460916482
bbbp,classification,23,1,4,logreg_l2_c0.1,0.8928890876565296,0.8928890876565296,0.8928890876565296,0.0,0.0,0.0,
bbbp,classification,23,1,8,rf_120_d20_leaf2,0.9056350626118068,0.8928890876565296,0.9097985347985348,0.016909447142005152,0.012745974955277184,0.004163472186727968,0.7537783375314862
bbbp,classification,23,1,16,et_90_leaf2,0.9170287077263822,0.8928890876565296,0.9185514098304794,0.025662322173949814,0.024139620069852596,0.0015227021040972177,0.9406639004149463
bbbp,classification,23,1,32,et_90_leaf2,0.9170287077263822,0.8928890876565296,0.9185514098304794,0.025662322173949814,0.024139620069852596,0.0015227021040972177,0.9406639004149463
bbbp,classification,23,2,4,logreg_l2_c0.1,0.8365667254556142,0.8365667254556142,0.8365667254556142,0.0,0.0,0.0,
bbbp,classification,23,2,8,rf_90_leaf2,0.8752792475014698,0.8365667254556142,0.8923721340388008,0.05580540858318661,0.038712522045855624,0.017092886537330987,0.6937055570187003
bbbp,classification,23,2,16,et_120_d20_leaf2,0.8838183421516754,0.8365667254556142,0.8923721340388008,0.05580540858318661,0.04725161669606126,0.00855379188712535,0.8467210956017892
bbbp,classification,23,2,32,et_120_d20_leaf2,0.8838183421516754,0.8365667254556142,0.8923721340388008,0.05580540858318661,0.04725161669606126,0.00855379188712535,0.8467210956017892
bbbp,classification,23,3,4,logreg_l2_c0.1,0.8612661041553257,0.8612661041553257,0.8612661041553257,0.0,0.0,0.0,
bbbp,classification,23,3,8,rf_120_d20_leaf2,0.8689892941389947,0.8612661041553257,0.875669116312829,0.014403012157503281,0.007723189983669054,0.006679822173834227,0.536220472440943
bbbp,classification,23,3,16,et_90_leaf2,0.8838913082925058,0.8612661041553257,0.8839139902014154,0.022647886046089694,0.022625204137180166,2.2681908909527593e-05,0.9989984977466166
bbbp,classification,23,3,32,et_90_leaf2,0.8838913082925058,0.8612661041553257,0.8839139902014154,0.022647886046089694,0.022625204137180166,2.2681908909527593e-05,0.9989984977466166
bace,classification,23,1,4,logreg_l2_c0.1,0.8722461892436008,0.8722461892436008,0.8722461892436008,0.0,0.0,0.0,
bace,classification,23,1,8,rf_90_leaf2,0.8819672131147541,0.8722461892436008,0.8926948518838078,0.02044866264020706,0.009721023871153367,0.010727638769053693,0.4753867791842515
bace,classification,23,1,16,et_120_d20_leaf2,0.8830601092896175,0.8722461892436008,0.8926948518838078,0.02044866264020706,0.010813920046016778,0.009634742594190282,0.528832630098458
bace,classification,23,1,32,et_120_d20_leaf2,0.8830601092896175,0.8722461892436008,0.8926948518838078,0.02044866264020706,0.010813920046016778,0.009634742594190282,0.528832630098458
bace,classification,23,2,4,logreg_l2_c0.1,0.8169519874065329,0.8169519874065329,0.8169519874065329,0.0,0.0,0.0,
bace,classification,23,2,8,rf_120_d20_leaf2,0.8389290633608816,0.8169519874065329,0.8486262790240062,0.03167429161747337,0.021977075954348724,0.009697215663124648,0.6938458551737554
bace,classification,23,2,16,rf_120_d20_leaf2,0.8389290633608816,0.8169519874065329,0.8486262790240062,0.03167429161747337,0.021977075954348724,0.009697215663124648,0.6938458551737554
