task,seed,outer_fold,left_outer_utility,left_representation,left_family,right_outer_utility,right_representation,right_family,full_utility_max,full_utility_min,full_utility_range,raw_utility_gain,normalized_utility_gain,comparison
esol,23,2,-0.8583628907748124,rdkit2d,linear,-1.8274438151930967,morgan512,lightgbm,-0.8583628907748124,-2.7056892486308697,1.8473263578560573,0.9690809244182843,0.5245856641936111,attainable multiview gain vs Morgan-only oracle
esol,23,3,-0.7665905456085125,rdkit2d,random_forest,-1.4551928529805385,morgan512,random_forest,-0.7665905456085125,-3.6631839360178273,2.896593390409315,0.688602307372026,0.23772832930296794,attainable multiview gain vs Morgan-only oracle
esol,37,1,-0.6715642518967673,rdkit2d,linear,-1.7236399124329165,morgan512,random_forest,-0.6715642518967673,-2.565254914196176,1.8936906622994087,1.0520756605361492,0.5555689117982285,attainable multiview gain vs Morgan-only oracle
esol,37,2,-0.8583628907748124,rdkit2d,linear,-1.8274438151930967,morgan512,lightgbm,-0.8583628907748124,-2.7056892486308697,1.8473263578560573,0.9690809244182843,0.5245856641936111,attainable multiview gain vs Morgan-only oracle
esol,37,3,-0.7649303710816613,rdkit2d,random_forest,-1.4259773844108592,morgan512,random_forest,-0.7649303710816613,-3.6631839360178273,2.898253564936166,0.6610470133291979,0.2280846028541873,attainable multiview gain vs Morgan-only oracle
esol,53,1,-0.6715642518967673,rdkit2d,linear,-1.740404568767967,morgan512,random_forest,-0.6715642518967673,-2.565254914196176,1.8936906622994087,1.0688403168711997,0.5644218129973579,attainable multiview gain vs Morgan-only oracle
esol,53,2,-0.8583628907748124,rdkit2d,linear,-1.8274438151930967,morgan512,lightgbm,-0.8583628907748124,-2.7056892486308697,1.8473263578560573,0.9690809244182843,0.5245856641936111,attainable multiview gain vs Morgan-only oracle
esol,53,3,-0.7707067884377828,rdkit2d,random_forest,-1.419712150784019,morgan512,random_forest,-0.7707067884377828,-3.6631839360178273,2.8924771475800446,0.6490053623462361,0.22437700601687327,attainable multiview gain vs Morgan-only oracle
esol,71,1,-0.6715642518967673,rdkit2d,linear,-1.7321059310041005,morgan512,random_forest,-0.6715642518967673,-2.565254914196176,1.8936906622994087,1.0605416791073332,0.5600395567349808,attainable multiview gain vs Morgan-only oracle
esol,71,2,-0.8583628907748124,rdkit2d,linear,-1.8274438151930967,morgan512,lightgbm,-0.8583628907748124,-2.7056892486308697,1.8473263578560573,0.9690809244182843,0.5245856641936111,attainable multiview gain vs Morgan-only oracle
esol,71,3,-0.7650971541261676,rdkit2d,random_forest,-1.425050026383263,morgan512,random_forest,-0.7650971541261676,-3.6631839360178273,2.8980867818916596,0.6599528722570954,0.22772018987862272,attainable multiview gain vs Morgan-only oracle
freesolv,11,1,-1.293868919977676,multiview,linear,-2.244413831118366,morgan512,lightgbm,-1.293868919977676,-6.184039296496714,4.890170376519038,0.9505449111406898,0.19437868989286927,attainable multiview gain vs Morgan-only oracle
freesolv,11,2,-1.9845203527814048,multiview,linear,-3.4506702593183385,morgan512,random_forest,-1.9845203527814048,-6.705997115356247,4.721476762574842,1.4661499065369337,0.3105278242939765,attainable multiview gain vs Morgan-only oracle
freesolv,11,3,-1.2196686065412106,rdkit2d,lightgbm,-2.414594600823617,morgan512,lightgbm,-1.2196686065412106,-5.247306048251642,4.027637441710431,1.1949259942824066,0.29668161833726353,attainable multiview gain vs Morgan-only oracle
freesolv,23,1,-1.293868919977676,multiview,linear,-2.244413831118366,morgan512,lightgbm,-1.293868919977676,-6.184039296496714,4.890170376519038,0.9505449111406898,0.19437868989286927,attainable multiview gain vs Morgan-only oracle
freesolv,23,2,-1.9845203527814048,multiview,linear,-3.5810785949572868,morgan512,random_forest,-1.9845203527814048,-6.705997115356247,4.721476762574842,1.596558242175882,0.3381480673231576,attainable multiview gain vs Morgan-only oracle
freesolv,23,3,-1.1645538494402592,rdkit2d,random_forest,-2.3862622284091,morgan512,random_forest,-1.1645538494402592,-5.247306048251642,4.082752198811383,1.2217083789688408,0.2992364756608345,attainable multiview gain vs Morgan-only oracle
freesolv,37,1,-1.293868919977676,multiview,linear,-2.244413831118366,morgan512,lightgbm,-1.293868919977676,-6.184039296496714,4.890170376519038,0.9505449111406898,0.19437868989286927,attainable multiview gain vs Morgan-only oracle
freesolv,37,2,-1.9845203527814048,multiview,linear,-3.5837593165195005,morgan512,random_forest,-1.9845203527814048,-6.705997115356247,4.721476762574842,1.5992389637380957,0.3387158391659553,attainable multiview gain vs Morgan-only oracle
freesolv,37,3,-1.1707967771590375,rdkit2d,random_forest,-2.414594600823617,morgan512,lightgbm,-1.1707967771590375,-5.247306048251642,4.076509271092604,1.2437978236645797,0.30511345392603795,attainable multiview gain vs Morgan-only oracle
freesolv,53,1,-1.293868919977676,multiview,linear,-2.244413831118366,morgan512,lightgbm,-1.293868919977676,-6.184039296496714,4.890170376519038,0.9505449111406898,0.19437868989286927,attainable multiview gain vs Morgan-only oracle
freesolv,53,2,-1.9845203527814048,multiview,linear,-3.532334395373409,morgan512,random_forest,-1.9845203527814048,-6.705997115356247,4.721476762574842,1.5478140425920044,0.3278241364779923,attainable multiview gain vs Morgan-only oracle
freesolv,53,3,-1.1372067031749524,rdkit2d,random_forest,-2.414594600823617,morgan512,lightgbm,-1.1372067031749524,-5.247306048251642,4.110099345076689,1.2773878976486648,0.3107924627609775,attainable multiview gain vs Morgan-only oracle
