endpoint,repeat,repeat_seed,outer_fold,pool_size,signal_correlation,simulation_replicates,top3_hit,chance_adjusted_hit,mrr,fixed_normalized_regret
bace,3,37,2,32,0.5,500,0.17,0.08413793103448276,0.19336088848811897,0.12075922172679183
bace,3,37,2,32,0.75,500,0.294,0.2209655172413793,0.2815697535587608,0.07550979597351519
bace,3,37,2,32,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,3,4,0.0,500,0.728,-0.088,0.516,0.34403742880391086
bace,3,37,3,4,0.1,500,0.8,0.2,0.5753333333333333,0.3038641171684343
bace,3,37,3,4,0.25,500,0.834,0.336,0.5881666666666666,0.2675264442636334
bace,3,37,3,4,0.5,500,0.944,0.776,0.6833333333333333,0.15455329536208653
bace,3,37,3,4,0.75,500,0.996,0.984,0.8163333333333332,0.05964442636289877
bace,3,37,3,4,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,3,8,0.0,500,0.366,-0.014399999999999998,0.3312833333333333,0.29727624084621673
bace,3,37,3,8,0.1,500,0.42,0.072,0.37390952380952375,0.2424104963384865
bace,3,37,3,8,0.25,500,0.506,0.20959999999999998,0.39994285714285716,0.20057567127746093
bace,3,37,3,8,0.5,500,0.614,0.3824,0.48415238095238095,0.1299027664768095
bace,3,37,3,8,0.75,500,0.714,0.5424000000000001,0.5420452380952381,0.0974426362896653
bace,3,37,3,8,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,3,16,0.0,500,0.196,0.010461538461538434,0.2197043428793429,0.2920793327908867
bace,3,37,3,16,0.1,500,0.266,0.09661538461538459,0.2591625735375735,0.22855695687550828
bace,3,37,3,16,0.25,500,0.25,0.07692307692307689,0.2616843101343102,0.18341456468673664
bace,3,37,3,16,0.5,500,0.35,0.19999999999999998,0.3232379537129537,0.11865581773799752
bace,3,37,3,16,0.75,500,0.402,0.26399999999999996,0.3638669441669441,0.07995402766476718
bace,3,37,3,16,1.0,1,1.0,1.0,1.0,0.0
bace,3,37,3,32,0.0,500,0.112,0.020137931034482765,0.133998325534389,0.2873128559804717
bace,3,37,3,32,0.1,500,0.11,0.017931034482758627,0.13914358820323822,0.2528502847843772
bace,3,37,3,32,0.25,500,0.122,0.03117241379310345,0.1499922214342544,0.1798592351505281
bace,3,37,3,32,0.5,500,0.198,0.11503448275862069,0.2145356657112283,0.1220630593978835
bace,3,37,3,32,0.75,500,0.296,0.22317241379310343,0.2842664465695883,0.07532384052074734
bace,3,37,3,32,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,1,4,0.0,500,0.768,0.072,0.5566666666666666,0.2429841886269067
bace,4,53,1,4,0.1,500,0.77,0.08,0.5351666666666668,0.2375689320388345
bace,4,53,1,4,0.25,500,0.844,0.376,0.595,0.18494091539528387
bace,4,53,1,4,0.5,500,0.92,0.68,0.6883333333333334,0.12181303744798849
bace,4,53,1,4,0.75,500,0.994,0.976,0.7415,0.09230069348127562
bace,4,53,1,4,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,1,8,0.0,500,0.354,-0.033599999999999984,0.34177857142857143,0.2811922330097076
bace,4,53,1,8,0.1,500,0.406,0.049600000000000005,0.3576166666666667,0.25075950069348013
bace,4,53,1,8,0.25,500,0.49,0.184,0.41140476190476194,0.17363966712898643
bace,4,53,1,8,0.5,500,0.542,0.2672,0.4357738095238095,0.11035339805825134
bace,4,53,1,8,0.75,500,0.698,0.5168,0.5414809523809524,0.04829597780859805
bace,4,53,1,8,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,1,16,0.0,500,0.206,0.022769230769230736,0.21229305694305695,0.2515830790568653
bace,4,53,1,16,0.1,500,0.212,0.03015384615384612,0.22035987900987902,0.21050124826629668
bace,4,53,1,16,0.25,500,0.252,0.07938461538461536,0.2551224802974803,0.15934174757281538
bace,4,53,1,16,0.5,500,0.308,0.14830769230769225,0.2921257242757243,0.10603106796116482
bace,4,53,1,16,0.75,500,0.398,0.25907692307692304,0.3640841325341326,0.06906768377253787
bace,4,53,1,16,1.0,1,1.0,1.0,1.0,0.0
bace,4,53,1,32,0.0,500,0.068,-0.028413793103448274,0.10765105707740856,0.2371417475728155
bace,4,53,1,32,0.1,500,0.122,0.031172413793103457,0.15190722567806467,0.16986407766990275
