dataset,task_type,seed,outer_fold,pool_size,selected_candidate,fixed_k32_reference_candidate,k_dependent_reference_candidate,same_fold_oracle_candidate,selected_utility,fixed_k32_reference_utility,k_dependent_reference_utility,same_fold_oracle_utility,fixed_k32_gap,k_dependent_crossfit_gap,same_fold_opportunity_gap,validation_audit_spearman
tdc_hia_hou,classification,53,2,16,et_90_d12,et_120_d20_leaf2,et_120_d20_leaf2,et_90_d12,0.8499105545617173,0.8161001788908765,0.8161001788908765,0.8499105545617173,-0.033810375670840775,-0.033810375670840775,0.0,0.4852941176470588
tdc_hia_hou,classification,53,2,32,et_90_d12,et_120_d20_leaf2,et_120_d20_leaf2,et_90_d12,0.8499105545617173,0.8161001788908765,0.8161001788908765,0.8499105545617173,-0.033810375670840775,-0.033810375670840775,0.0,0.30351906158357767
tdc_hia_hou,classification,53,3,4,logreg_l2_c0.1,et_120_d20_leaf2,logreg_l2_c1,logreg_l2_c1,0.9644786040714582,0.9671790610718738,0.9669713336103032,0.9669713336103032,0.002700457000415546,0.00249272953884494,0.00249272953884494,0.0
tdc_hia_hou,classification,53,3,8,rf_90_d12,et_120_d20_leaf2,rf_90_d12,logreg_l2_c1,0.947029497299543,0.9671790610718738,0.947029497299543,0.9669713336103032,0.020149563772330792,0.0,0.019941836310760186,-0.3571428571428572
tdc_hia_hou,classification,53,3,16,rf_90_d12,et_120_d20_leaf2,et_120_d20_leaf2,et_60_sqrt,0.947029497299543,0.9671790610718738,0.9671790610718738,0.9707104279185708,0.020149563772330792,0.020149563772330792,0.023680930619027762,0.18235294117647058
tdc_hia_hou,classification,53,3,32,cat_60_d4,et_120_d20_leaf2,et_120_d20_leaf2,et_60_sqrt,0.9225176568342336,0.9671790610718738,0.9671790610718738,0.9707104279185708,0.0446614042376402,0.0446614042376402,0.04819277108433717,0.12482815559713037
tdc_hia_hou,classification,71,1,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l2_c10,0.9372349448685326,0.9580152671755724,0.9372349448685326,0.9580152671755726,0.020780322307039745,0.0,0.020780322307039967,0.19999999999999998
tdc_hia_hou,classification,71,1,8,rf_90_d12,et_90_d12,logreg_l2_c0.1,rf_60_sqrt,0.96225614927905,0.9580152671755724,0.9372349448685326,0.9701017811704836,-0.004240882103477617,-0.02502120441051736,0.007845631891433613,-0.07142857142857144
tdc_hia_hou,classification,71,1,16,et_60_sqrt,et_90_d12,et_90_d12,rf_60_sqrt,0.9397794741306192,0.9580152671755724,0.9580152671755724,0.9701017811704836,0.018235793044953152,0.018235793044953152,0.030322307039864382,0.20765854626666486
tdc_hia_hou,classification,71,1,32,et_60_sqrt,et_90_d12,et_90_d12,rf_60_sqrt,0.9397794741306192,0.9580152671755724,0.9580152671755724,0.9701017811704836,0.018235793044953152,0.018235793044953152,0.030322307039864382,0.3671561858029912
tdc_hia_hou,classification,71,2,4,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l1_c1,0.7818260368663595,0.8225806451612904,0.7818260368663595,0.8257488479262672,0.04075460829493083,0.0,0.043922811059907696,-0.7999999999999999
tdc_hia_hou,classification,71,2,8,logreg_l2_c0.1,et_90_d12,logreg_l2_c0.1,logreg_l1_c1,0.7818260368663595,0.8225806451612904,0.7818260368663595,0.8257488479262672,0.04075460829493083,0.0,0.043922811059907696,-0.2142857142857143
tdc_hia_hou,classification,71,2,16,logreg_l2_c0.1,et_90_d12,et_90_d12,logreg_l1_c1,0.7818260368663595,0.8225806451612904,0.8225806451612904,0.8257488479262672,0.04075460829493083,0.04075460829493083,0.043922811059907696,0.1647058823529412
