dataset,pool_size,scenario,noise_scale,simulation_replicates,n_audit_units,observed_mean_same_fold_gap,simulated_mean_gap,simulated_gap_interval_low,simulated_gap_interval_high,top1_recovery_mean,top1_recovery_interval_low,top1_recovery_interval_high,observed_within_simulated_95pct_envelope,candidate_variance_cv
bbbp,8,empirical_correlation_heteroskedastic,2.0,2000,30,0.006992487201635563,0.009937401128291716,0.005466960484297959,0.01557580883404797,0.307,0.13333333333333333,0.5,1,0.0653700749950576
bbbp,8,independent_homoskedastic,0.5,2000,30,0.006992487201635563,0.005980244262051535,0.003543798439948897,0.008843429068382288,0.3381666666666666,0.16666666666666666,0.5,1,0.0653700749950576
bbbp,8,independent_homoskedastic,1.0,2000,30,0.006992487201635563,0.010722761418413976,0.006335736739068397,0.01634817796700088,0.2531666666666667,0.1,0.43333333333333335,1,0.0653700749950576
bbbp,8,independent_homoskedastic,2.0,2000,30,0.006992487201635563,0.017119135346942628,0.010147384347900822,0.02478022584784569,0.19388333333333332,0.06666666666666667,0.3333333333333333,0,0.0653700749950576
bbbp,16,empirical_correlation_heteroskedastic,0.5,2000,30,0.006023472683607378,0.0017368354175646172,0.0008416411546150602,0.002848255318968859,0.5414333333333332,0.36666666666666664,0.7,0,0.0653700749950576
bbbp,16,empirical_correlation_heteroskedastic,1.0,2000,30,0.006023472683607378,0.005317255254797058,0.0030136685298259294,0.008038205811232574,0.3233833333333333,0.16666666666666666,0.5,1,0.0653700749950576
bbbp,16,empirical_correlation_heteroskedastic,2.0,2000,30,0.006023472683607378,0.012546367349299281,0.007894202046091274,0.018156951765425585,0.16519999999999999,0.03333333333333333,0.3,0,0.0653700749950576
bbbp,16,independent_homoskedastic,0.5,2000,30,0.006023472683607378,0.007510075973831821,0.004998088054431857,0.010561896518426027,0.20746666666666663,0.06666666666666667,0.36666666666666664,1,0.0653700749950576
bbbp,16,independent_homoskedastic,1.0,2000,30,0.006023472683607378,0.011922286445267303,0.007868272069262942,0.01691479339727396,0.1439,0.03333333333333333,0.26666666666666666,0,0.0653700749950576
bbbp,16,independent_homoskedastic,2.0,2000,30,0.006023472683607378,0.017634329758607254,0.011839624952592664,0.024572602530471825,0.10331666666666667,0.0,0.2,0,0.0653700749950576
bbbp,32,empirical_correlation_heteroskedastic,0.5,2000,30,0.006706939791732895,0.002008936563717998,0.000987857550016624,0.0032226627045280664,0.5145333333333333,0.3333333333333333,0.6666666666666666,0,0.0653700749950576
bbbp,32,empirical_correlation_heteroskedastic,1.0,2000,30,0.006706939791732895,0.006152879396552643,0.003661468991536579,0.0091024553642394,0.28944999999999993,0.13333333333333333,0.43416666666666215,1,0.0653700749950576
bbbp,32,empirical_correlation_heteroskedastic,2.0,2000,30,0.006706939791732895,0.01430004814920124,0.009574691917576787,0.020307334677081183,0.13156666666666667,0.03333333333333333,0.26666666666666666,0,0.0653700749950576
bbbp,32,independent_homoskedastic,0.5,2000,30,0.006706939791732895,0.009988273472105416,0.006951784114717666,0.013087234843838912,0.15328333333333335,0.03333333333333333,0.3,0,0.0653700749950576
bbbp,32,independent_homoskedastic,1.0,2000,30,0.006706939791732895,0.015362733914560178,0.011374955017923074,0.019925913914768584,0.08706666666666667,0.0,0.2,0,0.0653700749950576
bbbp,32,independent_homoskedastic,2.0,2000,30,0.006706939791732895,0.02034552264478232,0.015281303934636663,0.026102646588073358,0.058166666666666665,0.0,0.13333333333333333,0,0.0653700749950576
clintox,4,empirical_correlation_heteroskedastic,0.5,2000,30,0.0033839682005655275,0.0011696932018232028,0.0002760229824947445,0.0024174240340424195,0.8076500000000001,0.7,0.9333333333333333,0,0.11981760448432247
clintox,4,empirical_correlation_heteroskedastic,1.0,2000,30,0.0033839682005655275,0.003902205285904155,0.0013877496578084255,0.007080280177401712,0.6768,0.5333333333333333,0.8333333333333334,1,0.11981760448432247
clintox,4,empirical_correlation_heteroskedastic,2.0,2000,30,0.0033839682005655275,0.00935342395945786,0.004515886877112056,0.014514181913997332,0.5163166666666666,0.3333333333333333,0.7,0,0.11981760448432247
clintox,4,independent_homoskedastic,0.5,2000,30,0.0033839682005655275,0.007452429180066073,0.003650171489919018,0.011608637256692301,0.5333499999999999,0.36666666666666664,0.7,0,0.11981760448432247
clintox,4,independent_homoskedastic,1.0,2000,30,0.0033839682005655275,0.012539329554137644,0.0073418051785574525,0.017931427449102002,0.39921666666666666,0.23333333333333334,0.6,0,0.11981760448432247
clintox,4,independent_homoskedastic,2.0,2000,30,0.0033839682005655275,0.015892252660252907,0.01032399200902622,0.02146452589987361,0.32285,0.16666666666666666,0.5,0,0.11981760448432247
clintox,8,empirical_correlation_heteroskedastic,0.5,2000,30,0.019356803098290222,0.0038000414188015014,0.0015821897998540557,0.0063907409127826244,0.6417666666666666,0.4666666666666667,0.8,0,0.11981760448432247
clintox,8,empirical_correlation_heteroskedastic,1.0,2000,30,0.019356803098290222,0.010084632983415262,0.0056316431798917295,0.015810713490829218,0.4472333333333333,0.26666666666666666,0.6,0,0.11981760448432247
clintox,8,empirical_correlation_heteroskedastic,2.0,2000,30,0.019356803098290222,0.01881130396176669,0.011737430909792112,0.02678991715804465,0.29478333333333334,0.13333333333333333,0.4666666666666667,1,0.11981760448432247
clintox,8,independent_homoskedastic,0.5,2000,30,0.019356803098290222,0.00919425348755923,0.005075303752929573,0.013940420300784252,0.437,0.26666666666666666,0.6,0,0.11981760448432247
clintox,8,independent_homoskedastic,1.0,2000,30,0.019356803098290222,0.01746876503023446,0.010941269420692368,0.025117237865056194,0.28914999999999996,0.13333333333333333,0.4666666666666667,1,0.11981760448432247
clintox,8,independent_homoskedastic,2.0,2000,30,0.019356803098290222,0.024603392261050478,0.016681671990314617,0.03294947562849388,0.20338333333333333,0.06666666666666667,0.36666666666666664,1,0.11981760448432247
clintox,16,empirical_correlation_heteroskedastic,0.5,2000,30,0.028729374120893016,0.004894152268875839,0.0023345423576561423,0.008043619168756965,0.48771666666666663,0.3333333333333333,0.6666666666666666,0,0.11981760448432247
clintox,16,empirical_correlation_heteroskedastic,1.0,2000,30,0.028729374120893016,0.01295974366945779,0.007746145694043587,0.01860340498599908,0.2969,0.13333333333333333,0.4666666666666667,0,0.11981760448432247
clintox,16,empirical_correlation_heteroskedastic,2.0,2000,30,0.028729374120893016,0.02276022291920951,0.015883431646863504,0.029982022015111503,0.17271666666666666,0.06666666666666667,0.3,1,0.11981760448432247
clintox,16,independent_homoskedastic,0.5,2000,30,0.028729374120893016,0.011107681268958341,0.006813399177906211,0.015996589631507647,0.29273333333333335,0.13333333333333333,0.4666666666666667,0,0.11981760448432247
clintox,16,independent_homoskedastic,1.0,2000,30,0.028729374120893016,0.01929409504027427,0.013308139604151009,0.02552607429901308,0.17478333333333335,0.06666666666666667,0.3333333333333333,0,0.11981760448432247
clintox,16,independent_homoskedastic,2.0,2000,30,0.028729374120893016,0.026352228275871005,0.019443594722622026,0.03354659908460119,0.11556666666666666,0.0,0.23333333333333334,1,0.11981760448432247
clintox,32,empirical_correlation_heteroskedastic,0.5,2000,30,0.030009430699144947,0.006054160077143259,0.003329820264072165,0.009205235269477686,0.44856666666666667,0.26666666666666666,0.6333333333333333,0,0.11981760448432247
clintox,32,empirical_correlation_heteroskedastic,1.0,2000,30,0.030009430699144947,0.015161009259158828,0.010158856881566654,0.020545880817436784,0.23148333333333335,0.1,0.36749999999999544,0,0.11981760448432247
clintox,32,empirical_correlation_heteroskedastic,2.0,2000,30,0.030009430699144947,0.02671844783653478,0.019909379048130157,0.03435606085207725,0.10995000000000002,0.0,0.23333333333333334,1,0.11981760448432247
