task,task_type,matrix_level,candidate_count,transformation,reference_label,n_seeds,n_matrix_rows,n_columns_after_transform,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
freesolv,regression,inner,4,raw,candidate_1,10,90,4,1.6502680717194285,1.4121164663651902,0.7977579244118435,1.7894712420445213,1.4737599129390921,0.7715391414451396,0.032865587623005274
freesolv,regression,inner,4,row_centred,candidate_1,10,90,4,1.3970900063586456,1.1978036968445807,-0.8256839876490378,1.5513128260077023,1.2631823867278955,-0.7945977052803235,0.03764912827875765
freesolv,regression,inner,4,fixed_reference_relative,candidate_1,10,90,3,1.1890552530036524,1.0778770005588847,0.9631610646519884,1.3116092225524862,1.1349896561722208,0.9245653294392181,0.04007194292754712
freesolv,regression,inner,4,within_unit_rank,candidate_1,10,90,4,2.3252744918641266,2.0573402095106728,-0.33113851318598353,2.7779320118060675,2.3528369582323756,-0.2851259556421245,0.13895260053310707
freesolv,regression,inner,8,raw,candidate_1,10,90,8,1.6707090962938485,1.3691486189369357,0.9086880318964294,1.8537389657880639,1.429766591019311,0.8851426840161629,0.025911365676432905
freesolv,regression,inner,8,row_centred,candidate_1,10,90,8,2.1493088155521187,1.572883010127198,-0.33227712120922664,2.39712304551329,1.665818531509472,-0.32053241325797727,0.03534612286427611
freesolv,regression,inner,8,fixed_reference_relative,candidate_1,10,90,7,1.2703777188374825,1.101738523686918,0.9631610646519884,1.4422666202083494,1.1603794648781192,0.9338313966177011,0.030451467683532785
freesolv,regression,inner,8,within_unit_rank,candidate_1,10,90,8,3.4169663106344323,2.2852378971315384,-0.4314729185533591,3.629415871659319,2.3918279329862577,-0.41779753309408857,0.03169465537981245
freesolv,regression,inner,16,raw,candidate_1,10,90,16,1.6374593802701478,1.2673813391104243,0.9381707435536499,1.8384072068937123,1.321019737745627,0.9172523979449501,0.022296949411857045
freesolv,regression,inner,16,row_centred,candidate_1,10,90,16,5.42337213245696,3.6257019288604164,0.022403502099529998,6.4656412169077395,4.081848763728179,0.020721808971999565,0.0750638502881984
freesolv,regression,inner,16,fixed_reference_relative,candidate_1,10,90,15,1.3731843895311955,1.1221719262320449,0.9400130647303977,1.5978532300633548,1.1848306799768415,0.9127520108466262,0.029000718082136986
freesolv,regression,inner,16,within_unit_rank,candidate_1,10,90,16,7.809558667453728,5.427495496593894,-0.11111809726381233,8.99799840248727,6.173700626629864,-0.10044256745196062,0.096073727635078
freesolv,regression,inner,32,raw,candidate_1,10,90,32,1.5846447124772647,1.2068985977073825,0.939130891297107,1.8021805965593862,1.2551162397340336,0.9201936982990048,0.020164593853309456
freesolv,regression,inner,32,row_centred,candidate_1,10,90,32,8.360780894465968,5.417496074456118,-0.0811336471211215,11.223650881096173,6.558923815834773,-0.07213629025641667,0.1108955061674107
freesolv,regression,inner,32,fixed_reference_relative,candidate_1,10,90,31,1.4259035525172425,1.1324933154157388,0.9412619854766424,1.6998254509193491,1.1958086130370358,0.9150328619056342,0.027865911909452045
freesolv,regression,inner,32,within_unit_rank,candidate_1,10,90,32,10.679477002547703,6.43057352529248,-0.11293607173929861,13.154073090049915,7.561104271655719,-0.10182284182729487,0.09840283747125117
lipo,regression,outer,4,raw,candidate_1,10,30,4,1.021445345480259,1.0060709157510448,0.9972269875524143,1.2045890057726303,1.0714840202357825,0.9556932430865209,0.04164923832219367
lipo,regression,outer,4,row_centred,candidate_1,10,30,4,1.552913600370654,1.350354946791653,-0.6594674370711766,1.9116752863171205,1.518470772249104,-0.6018384840617186,0.08738710930959599
lipo,regression,outer,4,fixed_reference_relative,candidate_1,10,30,3,1.2975138893367735,1.1268726405330285,0.9203627610739724,1.5558553755522209,1.2729555734271372,0.831491728501466,0.0965608739632213
lipo,regression,outer,4,within_unit_rank,candidate_1,10,30,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
