task,task_type,matrix_level,candidate_count,transformation,reference_label,reference_candidate_order,n_seeds,n_matrix_rows,n_columns_after_transform,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
esol,regression,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,1.4027832921710857,1.1512402669036106,0.9483038333992326,1.6306255523268114,1.2025282385626996,0.9270633525819925,0.0223983918119397
esol,regression,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,2.205664546998997,1.555917632969035,0.8308123551345649,2.551389534296545,1.6355054714368968,0.8092496117892988,0.025953806791635392
esol,regression,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,4.430102507845303,3.018933155163867,0.20241135646774383,5.6278220142519935,3.3811175196875167,0.1900213535736647,0.06121199477290007
esol,regression,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,4.837339675545192,3.0411270443071485,0.05362958261462381,6.043157144070712,3.3956778701774373,0.05042979114576445,0.0596646722360812
freesolv,regression,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,1.1629998900240455,1.0481244965712992,0.9809179434675497,1.518117816933187,1.1329560725184047,0.9421427018081923,0.03952954670427021
freesolv,regression,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,1.9540205695539075,1.3452192463324468,0.876137886319807,2.4395283392552125,1.454477159563502,0.8410349139060637,0.0400655798155156
freesolv,regression,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,6.557903160998046,4.225712832169875,0.33351673457273345,11.227187629323772,6.025810694130672,0.26974078642957966,0.1912226330257668
freesolv,regression,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,3.4846534602351813,2.0930885118227507,0.702646500349036,5.606556842142411,2.6398293916395597,0.6197211638167078,0.11801857191508915
freesolv,regression,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,1.4259035525172425,1.1324933154157388,0.9412619854766424,1.6998254509193491,1.1958086130370358,0.9150328619056342,0.027865911909452045
freesolv,regression,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,3.2383171930793675,1.863041194636208,0.7238481843589017,3.7237385295990504,1.9737983648543218,0.7019082061341799,0.030310193074744324
freesolv,regression,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,6.294017499474501,3.703181868134993,0.4292440796031631,7.813997648766039,4.177613072653149,0.40060874575576594,0.0667110746731108
freesolv,regression,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,4.774167793269309,2.6347142346919377,0.5675354908614741,6.336370118647504,3.0537406230841,0.5232532954561036,0.07802542064488985
lipo,regression,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,1.9325311322746663,1.3248012984081496,0.8990909939001498,2.672019031736735,1.4957058598145485,0.8437265569951378,0.06157823544071794
lipo,regression,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,1.9602082702074204,1.3310540387692014,0.895966482175662,2.6892534605628504,1.4991590801606953,0.8418445142021644,0.06040624180725329
lipo,regression,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,4.734112672558455,2.829818067935204,0.5473366683570642,7.382994596165736,3.6205237699032504,0.4770521333592454,0.12841188807757248
lipo,regression,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,6.280202532317638,3.9080342558184773,0.38024126251749335,9.96758557951851,5.227463978831654,0.32066474781504295,0.1566808249794024
lipo,regression,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,1.815115947974449,1.282641292685019,0.9204338448969428,2.0775404254826286,1.3429625553815543,0.898611590222614,0.023708661730894497
lipo,regression,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,1.9009174017348975,1.3113681062260922,0.9123925898151013,2.1597443141633694,1.3707503852524663,0.8915179740363262,0.022878984344891856
lipo,regression,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,5.613028693949926,3.044850001650344,0.5101102269723509,6.48942300610804,3.300112125705518,0.4877426417468434,0.04384853320480428
lipo,regression,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,6.261021866642924,3.6302557155581,0.44571871263163293,7.336343525030293,3.977114815434185,0.4231320285770815,0.050674749375438956
tdc_caco2_wang,regression,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,1.2322044227388376,1.0733574285408318,0.9786377749430233,1.4992795093468085,1.1358697685721417,0.9503330324660265,0.02892259342701595
tdc_caco2_wang,regression,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,1.8358550177815867,1.2906701394722073,0.9311351354666226,2.498690903882359,1.442227642147946,0.8786033613818869,0.05641691746323247
tdc_caco2_wang,regression,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,7.84013242909009,4.834801231603888,0.2723215808658766,12.743198502251932,6.875739697362225,0.21926870012773583,0.1948170268748196
tdc_caco2_wang,regression,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,4.502558227538805,2.5633093196399646,0.5732766357983619,7.5700569177451875,3.445476604053444,0.4867399830451381,0.15095094994183816
tdc_caco2_wang,regression,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,1.355635335118743,1.1112653933089651,0.962822889193824,1.6577373487504803,1.1822519864002086,0.9323606386799058,0.03163847770530675
tdc_caco2_wang,regression,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,1.988671958076406,1.3330138199831587,0.9055472713542272,2.2958284428268674,1.402096229711473,0.8819283507504743,0.026082482219211677
tdc_caco2_wang,regression,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,7.119683499475675,3.9393983202910334,0.3912839337533544,8.923912238075301,4.556611250325022,0.3596464726223842,0.08085550773191949
tdc_caco2_wang,regression,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,5.073483343091276,2.808430723064395,0.5076290977050579,6.244983901236207,3.138831842533033,0.4773471963033692,0.059653596569996116
tdc_hia_hou,classification,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,5.683834589605438,3.0670109335834637,0.5291453449069844,10.25228564856925,4.56770624992365,0.4217861151348695,0.20289175895705389
tdc_hia_hou,classification,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,5.6923681749311035,3.0060800208333327,0.524511292664775,10.02360275711503,4.399927973382511,0.42261204983527206,0.19427464051689824
tdc_hia_hou,classification,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,6.014840008865715,3.3541752056027474,0.4891515034970726,12.091327357379454,5.57957448572254,0.36367408711821675,0.2565205574996393
tdc_hia_hou,classification,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,3.6429344727528647,1.9636442025756264,0.716384256480194,6.47728623379694,2.689863044880941,0.604383054502603,0.15634235532741314
tdc_hia_hou,classification,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,7.558067054700859,4.3489216617182995,0.3572674258922996,9.521980032375305,5.077285794768779,0.3261003396980604,0.08723741358842728
tdc_hia_hou,classification,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,6.977809142412202,3.872401984597987,0.4270388256659068,8.509876996766474,4.399123217712731,0.3967498954464497,0.07092781358281826
tdc_hia_hou,classification,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,6.042639676443124,3.0767063346434878,0.49921454823178935,7.408785050330566,3.479428141247599,0.46603842439708076,0.06645664464751132
tdc_hia_hou,classification,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,4.711232405089361,2.4061622314773112,0.6072069334929996,5.522417223366917,2.616441850394251,0.5801507066114872,0.044558494623685566
tdc_pgp_broccatelli,classification,outer,32,fixed_reference_relative,candidate_1,1,10,30,31,3.612883564807602,1.9845108308045258,0.747247341152415,6.536141350192245,2.748523636428022,0.6265374032851768,0.16153946788365675
tdc_pgp_broccatelli,classification,outer,32,fixed_reference_relative,predefined_linear_baseline,2,10,30,31,3.4438241534880856,1.8807877938120319,0.7744943726285172,5.3261298595090265,2.3449898238224884,0.6880629244888415,0.11159725776488276
tdc_pgp_broccatelli,classification,outer,32,fixed_reference_relative,fixed_morgan_rf,5,10,30,31,6.316613075206691,3.2879250595408247,0.4830048889430802,9.589287572689852,4.339667794897018,0.4123656630314842,0.14624950498155445
tdc_pgp_broccatelli,classification,outer,32,fixed_reference_relative,registry_median_candidate,16,10,30,31,6.522862124085358,3.474126540482866,0.472104464271232,9.888956899098948,4.591890677222962,0.40221962226250313,0.14802834393147962
tdc_pgp_broccatelli,classification,inner,32,fixed_reference_relative,candidate_1,1,10,90,31,3.834553167525555,1.9694733303917793,0.7205684843574003,4.409318633100303,2.1102837532628573,0.6944229549102099,0.0362845864269335
tdc_pgp_broccatelli,classification,inner,32,fixed_reference_relative,predefined_linear_baseline,2,10,90,31,3.451297279288197,1.7883402817520506,0.7590315965384044,4.118185596190114,1.9484867220269766,0.7251744133193487,0.04460576262366829
tdc_pgp_broccatelli,classification,inner,32,fixed_reference_relative,fixed_morgan_rf,5,10,90,31,6.364812775474494,3.0172940926121363,0.5335382011572088,7.529429553445468,3.361827304959786,0.5023384837012675,0.05847700762245535
tdc_pgp_broccatelli,classification,inner,32,fixed_reference_relative,registry_median_candidate,16,10,90,31,5.422543152140015,2.6012614254798163,0.5857465443358884,6.549055563813359,2.911599655733808,0.5506173401535772,0.0599733869913657
