task,task_type,matrix_level,transformation,omission_type,omitted,n_matrix_rows,empirical_entropy_rank,empirical_participation_rank,empirical_median_correlation,ledoit_wolf_entropy_rank,ledoit_wolf_participation_rank,ledoit_wolf_median_correlation,ledoit_wolf_shrinkage_alpha
bace,classification,inner,row_centred,seed,11,81,13.321095542035456,8.448748696040756,-0.10388606812661366,17.658744241124015,11.07907855128972,-0.08550373693900358,0.1769470297519219
bace,classification,inner,row_centred,seed,23,81,13.072639720318733,8.128308152919308,-0.11103008815283444,17.707607356358874,10.916959497662992,-0.09003573965869235,0.18908701995483482
bace,classification,inner,row_centred,seed,37,81,12.776582055542777,7.873076043530967,-0.10972746445105426,17.185618639003767,10.439139606225753,-0.09008184657278161,0.17904011522143481
bace,classification,inner,row_centred,seed,53,81,13.111742388674939,8.154659297011062,-0.09471859601590932,17.75011663153162,10.951758242714542,-0.07678959622074591,0.18928700961901881
bace,classification,inner,row_centred,seed,71,81,13.022219158070403,8.00692258548377,-0.11160021541895665,17.575559556702775,10.721619867961026,-0.090822603881429,0.18617895547536975
bace,classification,inner,row_centred,seed,83,81,13.162635377088938,8.193495925440185,-0.10409123242340801,17.693893235710973,10.91725692042236,-0.08486092313644807,0.18474475553077857
bace,classification,inner,row_centred,seed,97,81,13.188681485749742,8.304243161180665,-0.10067062171337424,17.942480902517136,11.214342898874545,-0.08113578656829294,0.19404702993391873
bace,classification,inner,row_centred,seed,113,81,13.501293318197488,8.476744376778692,-0.08755879167758321,18.325846045260263,11.490238434910637,-0.07022332263520856,0.19798661802242418
bace,classification,inner,row_centred,seed,127,81,13.248066026156357,8.216519511655765,-0.09583380515396585,18.026884988786296,11.145153945933506,-0.07705226885528564,0.19598028345536264
bace,classification,inner,row_centred,seed,149,81,12.860682314632468,7.967471088961777,-0.10837046624213495,17.396506328828547,10.639214962354272,-0.08841486051911657,0.18414247363696915
bace,classification,inner,row_centred,outer_fold,1,60,12.321561181046457,7.6663316119421365,-0.10015892530949547,18.345699264465722,11.308048049499215,-0.07604778547480828,0.24072881932571347
bace,classification,inner,row_centred,outer_fold,2,60,12.141757714325893,7.5031931326617975,-0.08746587580760168,18.104239891144296,11.049268893100797,-0.0666560835850781,0.23791898303629624
bace,classification,inner,row_centred,outer_fold,3,60,13.232364735998097,8.546982297068322,-0.08708384096431693,18.814700866715768,12.086765907742224,-0.06747772883072903,0.22514064511258305
bace,classification,inner,row_centred,inner_fold,1,60,12.28440661983648,7.688603102932825,-0.07865159833211016,18.15577356544688,11.180393397938058,-0.06035788790237591,0.23259171863854783
bace,classification,inner,row_centred,inner_fold,2,60,12.77708769547905,8.1882457643582,-0.10524383984733554,19.272779848532718,12.348172556816134,-0.07785680004923065,0.2602246348843977
bace,classification,inner,row_centred,inner_fold,3,60,12.542810156306745,7.771408941673788,-0.1084028299353539,17.934539718888438,10.991625108183642,-0.08487732757597143,0.21701926391969606
bace,classification,inner,fixed_reference_relative,seed,11,81,4.687297175546357,2.3256350915814554,0.662430539461266,5.599466919330892,2.562217078389646,0.6284983397091299,0.05122378533412981
bace,classification,inner,fixed_reference_relative,seed,23,81,4.788748552846253,2.3939779136436865,0.644993559994843,5.739985779293235,2.6447215800326704,0.6109612860896159,0.05276374217674234
bace,classification,inner,fixed_reference_relative,seed,37,81,4.930909681569574,2.4638622735881004,0.6285381415263326,5.973153518963458,2.742699405560792,0.5928140448420801,0.056836800066740446
bace,classification,inner,fixed_reference_relative,seed,53,81,5.031319811612794,2.4919064108124354,0.6300212359314165,6.028175727344585,2.758998314316422,0.5959382960886025,0.05409808098361307
bace,classification,inner,fixed_reference_relative,seed,71,81,5.1783403569338695,2.569980510100392,0.6118353366916864,6.223549420497892,2.8548765640178364,0.5775888534678931,0.05597336598597016
bace,classification,inner,fixed_reference_relative,seed,83,81,5.070056195447584,2.503931045512979,0.615175939439518,6.0841264933299195,2.7760531244776705,0.5814508820395901,0.054821808262940336
bace,classification,inner,fixed_reference_relative,seed,97,81,4.995666565448231,2.4711070807162536,0.6325928679231136,5.987494361173234,2.736003852283246,0.5983923664093873,0.05406400111024181
bace,classification,inner,fixed_reference_relative,seed,113,81,4.76136283156041,2.3532655765296795,0.6596515486124395,5.690585931598085,2.595990528948623,0.6253897643982931,0.05193921591818523
bace,classification,inner,fixed_reference_relative,seed,127,81,4.89126890881013,2.426726412814053,0.641564328249332,5.865077346089884,2.6852412374541315,0.6071351769791157,0.053664379009607806
bace,classification,inner,fixed_reference_relative,seed,149,81,4.903203626054374,2.450603118565817,0.6327958577767262,5.9167615786691385,2.720770233937668,0.5977085991396057,0.05544799038412865
bace,classification,inner,fixed_reference_relative,outer_fold,1,60,5.9467515998388425,3.0128135675745056,0.5510804063364454,7.687509507911983,3.532934169597892,0.5041500799507049,0.08516057883046621
bace,classification,inner,fixed_reference_relative,outer_fold,2,60,4.435778265226355,2.279320267922848,0.6637201967291128,5.685752325106163,2.604755534042779,0.6173474713985266,0.06986788342303896
bace,classification,inner,fixed_reference_relative,outer_fold,3,60,4.349025395138635,2.1922869646392367,0.6858212257106518,5.448820140944441,2.4730801126352104,0.6425598427158931,0.06307967932886722
bace,classification,inner,fixed_reference_relative,inner_fold,1,60,4.537838215086804,2.3131621729060337,0.6555456897885467,5.890184638857912,2.667516012981411,0.6066713366805412,0.07455521997829123
bace,classification,inner,fixed_reference_relative,inner_fold,2,60,4.903445011157799,2.473797598214673,0.634834091551092,6.173269416838498,2.8142672697741284,0.5916329290101403,0.06805110676302568
