dataset,seed,outer_fold,pool_size,order_rule,order_replicate,selected_candidate,same_fold_gap,crossfit_gap,mean_inner_fit_seconds_of_eligible
esol,149,2,8,random,51,lgbm_80_ff0.7,0.07187891126599211,0.0,1.7107289592235302
esol,149,3,8,random,51,et_60_sqrt,0.0,-0.007347064171154383,1.7107289592235302
esol,149,1,16,random,51,et_90_leaf2,0.1627502502232081,0.1352708044847768,5.219767896264479
esol,149,2,16,random,51,lgbm_80_bag0.8,0.02793919927759725,-0.04393971198839486,5.219767896264479
esol,149,3,16,random,51,et_60_sqrt,0.0030557033570539627,-0.007347064171154383,5.219767896264479
esol,149,1,32,random,51,ridge_a10,0.03284989524994475,0.0,15.472442359195725
esol,149,2,32,random,51,lgbm_100_leaf10,0.18794700385192686,0.18794700385192686,15.472442359195725
esol,149,3,32,random,51,ridge_a10,0.047699973754379954,0.0,15.472442359195725
esol,149,1,4,random,52,et_90_leaf2,0.0,0.0,0.8589231592529724
esol,149,2,4,random,52,et_90_leaf2,0.015998734119613278,0.0,0.8589231592529724
esol,149,3,4,random,52,et_90_leaf2,0.0,0.0,0.8589231592529724
esol,149,1,8,random,52,et_90_leaf2,0.02618399779997338,0.0,2.6171360073925887
esol,149,2,8,random,52,lgbm_60_l15,0.19394519494904428,0.15466881139507072,2.6171360073925887
esol,149,3,8,random,52,et_90_leaf2,0.0,0.0,2.6171360073925887
esol,149,1,16,random,52,et_90_leaf2,0.1627502502232081,0.1627502502232081,8.69572371848281
esol,149,2,16,random,52,xgb_60_d6,0.11785130242561959,0.09020711439545637,8.69572371848281
esol,149,3,16,random,52,rf_60_sqrt,0.0327041837504114,0.010976590471034164,8.69572371848281
esol,149,1,32,random,52,ridge_a10,0.03284989524994475,0.0,15.472442359195725
esol,149,2,32,random,52,lgbm_100_leaf10,0.18794700385192686,0.18794700385192686,15.472442359195725
esol,149,3,32,random,52,ridge_a10,0.047699973754379954,0.0,15.472442359195725
esol,149,1,4,random,53,et_90_d12,0.20214087358577348,0.20214087358577348,1.1035523185058043
esol,149,2,4,random,53,lgbm_100_leaf30,0.12979017902333712,0.0,1.1035523185058043
esol,149,3,4,random,53,xgb_60_d3,0.04608815737756311,0.03360911320930593,1.1035523185058043
esol,149,1,8,random,53,lgbm_80_ff0.7,0.0,0.0,2.4480493259055667
esol,149,2,8,random,53,lgbm_80_ff0.7,0.053151865530058906,0.0,2.4480493259055667
esol,149,3,8,random,53,gb_lr0.1_d3,0.06744822260613237,0.06744822260613237,2.4480493259055667
esol,149,1,16,random,53,ridge_a10,0.026996380366473227,0.0,7.314715751817586
esol,149,2,16,random,53,lgbm_80_ff0.7,0.19466301107546657,0.19466301107546657,7.314715751817586
esol,149,3,16,random,53,ridge_a10,0.047699973754379954,0.0,7.314715751817586
