dataset,seed,outer_fold,pool_size,control,selected_candidate,available_opportunity,same_fold_gap,crossfit_gap,effective_rank,unique_candidates
bace,53,2,16,registered,rf_90_d12,0.03881987577639756,0.006272074047010134,0.006272074047010134,1.196667996988105,16
bace,53,3,16,registered,et_90_d12,0.022939337085678524,0.0029018136335210443,-0.0012757973733583672,1.196667996988105,16
bace,53,1,32,registered,et_90_leaf2,0.019685314685314648,0.005839160839160917,0.0,1.1683752338479303,32
bace,53,2,32,registered,rf_90_d12,0.03881987577639756,0.006272074047010134,0.006272074047010134,1.1683752338479303,32
bace,53,3,32,registered,et_90_d12,0.02849280800500298,0.008455284552845499,-0.0012757973733583672,1.1683752338479303,32
bace,53,1,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,2,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,3,4,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,1,8,weak_added,logreg_l2_c0.1,0.002325174825174914,0.002325174825174914,0.0,1.172736426217133,8
bace,53,2,8,weak_added,cat_100_d4,0.018323996265172893,0.0,-0.018323996265172893,1.172736426217133,8
bace,53,3,8,weak_added,logreg_l2_c0.1,0.0,0.0,0.0,1.172736426217133,8
bace,53,1,16,weak_added,cat_80_d6,0.019685314685314648,0.0,-0.008199300699300638,1.1839956758983052,16
bace,53,2,16,weak_added,lgbm_100_leaf10,0.022160313400722664,0.0006038647342995196,0.0,1.1839956758983052,16
bace,53,3,16,weak_added,lgbm_100_leaf10,0.019949968730456402,0.0,0.0,1.1839956758983052,16
bace,53,1,32,weak_added,et_90_leaf2,0.019685314685314648,0.005839160839160917,0.0,1.1683752338479303,32
bace,53,2,32,weak_added,rf_90_d12,0.03881987577639756,0.006272074047010134,0.006272074047010134,1.1683752338479303,32
bace,53,3,32,weak_added,et_90_d12,0.02849280800500298,0.008455284552845499,-0.0012757973733583672,1.1683752338479303,32
bace,53,1,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,2,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,3,4,complementary_strong_added,logreg_l2_c0.1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,1,8,complementary_strong_added,rf_60_sqrt,0.017377622377622304,0.004449300699300718,0.004449300699300718,1.2050584213135647,8
bace,53,2,8,complementary_strong_added,lgbm_80_ff0.7,0.035196687370600444,0.006718629480777727,0.006718629480777727,1.2050584213135647,8
bace,53,3,8,complementary_strong_added,lgbm_80_ff0.7,0.02849280800500298,0.0,-0.011031894934333986,1.2050584213135647,8
bace,53,1,16,complementary_strong_added,et_90_leaf2,0.01900349650349653,0.0051573426573428005,0.0,1.189058571545103,16
bace,53,2,16,complementary_strong_added,rf_90_d12,0.03881987577639756,0.006272074047010134,0.006272074047010134,1.189058571545103,16
bace,53,3,16,complementary_strong_added,lgbm_80_ff0.7,0.02849280800500298,0.0,-0.009731081926203866,1.189058571545103,16
bace,53,1,32,complementary_strong_added,et_90_leaf2,0.019685314685314648,0.005839160839160917,0.0,1.1683752338479303,32
bace,53,2,32,complementary_strong_added,rf_90_d12,0.03881987577639756,0.006272074047010134,0.006272074047010134,1.1683752338479303,32
bace,53,3,32,complementary_strong_added,et_90_d12,0.02849280800500298,0.008455284552845499,-0.0012757973733583672,1.1683752338479303,32
bace,53,1,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,2,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,3,4,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,1,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438804,4
bace,53,2,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438804,4
bace,53,3,8,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438804,4
bace,53,1,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438804,4
bace,53,2,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438804,4
bace,53,3,16,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438804,4
bace,53,1,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438808,4
bace,53,2,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438808,4
bace,53,3,32,exact_duplicate,base_1,0.0,0.0,0.0,1.0667156287438808,4
bace,53,1,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,2,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,3,4,near_duplicate_95pct_anchor,base_1,0.0,0.0,0.0,1.0667156287438806,4
bace,53,1,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0006464160839160238,0.0,0.0,1.0648116434385932,4
bace,53,2,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0014693196119026641,0.0,0.0,1.0648116434385932,4
bace,53,3,8,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0010562851782363047,0.0,0.0,1.0648116434385932,4
bace,53,1,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0006464160839160238,0.0,0.0,1.063775159623375,4
bace,53,2,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0014693196119026641,0.0,0.0,1.063775159623375,4
bace,53,3,16,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_5,0.0011469668542838374,0.00020387742338967563,0.000113195747342143,1.063775159623375,4
bace,53,1,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0008120629370629295,0.00016564685314690575,0.0,1.0627939710005987,4
bace,53,2,32,near_duplicate_95pct_anchor,near_duplicate_95pct_anchor_1,0.0014693196119026641,0.0,0.0,1.0627939710005987,4
