dataset,seed,outer_fold,pool_size,selector,selected_candidate,fixed_k32_reference_candidate,outer_roc_auc,outer_pr_auc,outer_minority_recall,outer_majority_recall,outer_balanced_recall,outer_minority_miss_rate,target_metric,target_value,fixed_reference_target_value,fixed_reference_gap,constraint_target,inner_constraint_met
tdc_pgp_broccatelli,97,1,8,roc_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.909014675052411,0.934254726955976,0.8553459119496856,0.806060606060606,0.8307032590051457,0.14465408805031443,roc_auc,0.909014675052411,0.9159900895749952,0.006975414522584211,,
tdc_pgp_broccatelli,97,1,8,pr_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.909014675052411,0.934254726955976,0.8553459119496856,0.806060606060606,0.8307032590051457,0.14465408805031443,pr_auc,0.934254726955976,0.9401581775155876,0.005903450559611612,,
tdc_pgp_broccatelli,97,1,8,minority_constrained,logreg_l1_c1,et_90_leaf2,0.8984181437011626,0.9218740241676144,0.8050314465408805,0.8545454545454545,0.8297884505431675,0.19496855345911945,outer_majority_recall,0.8545454545454545,0.8424242424242424,-0.012121212121212088,0.8,1.0
tdc_pgp_broccatelli,97,1,16,roc_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.909014675052411,0.934254726955976,0.8553459119496856,0.806060606060606,0.8307032590051457,0.14465408805031443,roc_auc,0.909014675052411,0.9159900895749952,0.006975414522584211,,
tdc_pgp_broccatelli,97,1,16,pr_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.909014675052411,0.934254726955976,0.8553459119496856,0.806060606060606,0.8307032590051457,0.14465408805031443,pr_auc,0.934254726955976,0.9401581775155876,0.005903450559611612,,
tdc_pgp_broccatelli,97,1,16,minority_constrained,et_90_leaf2,et_90_leaf2,0.9164474938059844,0.940482260192188,0.8553459119496856,0.8424242424242424,0.848885077186964,0.14465408805031443,outer_majority_recall,0.8424242424242424,0.8424242424242424,0.0,0.8,1.0
tdc_pgp_broccatelli,97,1,32,roc_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.909014675052411,0.934254726955976,0.8553459119496856,0.806060606060606,0.8307032590051457,0.14465408805031443,roc_auc,0.909014675052411,0.9159900895749952,0.006975414522584211,,
tdc_pgp_broccatelli,97,1,32,pr_auc,rf_120_d20_leaf2,et_120_d20_leaf2,0.909014675052411,0.934254726955976,0.8553459119496856,0.806060606060606,0.8307032590051457,0.14465408805031443,pr_auc,0.934254726955976,0.9401581775155876,0.005903450559611612,,
tdc_pgp_broccatelli,97,1,32,minority_constrained,et_90_leaf2,et_90_leaf2,0.9164474938059844,0.940482260192188,0.8553459119496856,0.8424242424242424,0.848885077186964,0.14465408805031443,outer_majority_recall,0.8424242424242424,0.8424242424242424,0.0,0.8,1.0
tdc_pgp_broccatelli,97,2,4,roc_auc,logreg_l2_c0.1,et_120_d20_leaf2,0.9179212807432292,0.9525681745138406,0.8794326241134752,0.783625730994152,0.8315291775538136,0.12056737588652477,roc_auc,0.9179212807432292,0.9321056779063496,0.014184397163120366,,
