dataset,seed,outer_fold,pool_size,alternative_selector,candidate_changed_vs_roc,delta_outer_roc_auc_vs_roc_selector,delta_outer_pr_auc_vs_roc_selector,delta_outer_minority_recall_vs_roc_selector,delta_outer_balanced_recall_vs_roc_selector
bbbp,53,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,3,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,53,3,32,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,71,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,71,1,8,pr_auc,1,-0.004976261649375591,0.00025969278980497723,0.008264462809917439,-0.01182521540355197
bbbp,71,1,16,pr_auc,1,-0.0036047125021978488,-0.002357907298064732,0.016528925619834767,0.008264462809917328
bbbp,71,1,32,pr_auc,1,-0.02489889221030417,-0.011477592946397941,0.04958677685950419,0.0013891331106031801
bbbp,71,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,71,2,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,71,2,16,pr_auc,1,0.0028473960769207496,0.0015917276191188545,0.030674846625766916,-0.022779168615367662
bbbp,71,2,32,pr_auc,1,0.0028473960769207496,0.0015917276191188545,0.030674846625766916,-0.022779168615367662
bbbp,71,3,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,71,3,8,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,71,3,16,pr_auc,1,-0.0012900143334928504,0.0013320078554164283,0.00512820512820511,0.013433667781493797
bbbp,71,3,32,pr_auc,1,-0.0012900143334928504,0.0013320078554164283,0.00512820512820511,0.013433667781493797
bbbp,83,1,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,83,1,8,pr_auc,1,-0.005580524344569571,-0.005117422022705265,0.04444444444444451,-0.03732833957553061
bbbp,83,1,16,pr_auc,1,0.007802746566791585,0.007963908028714828,0.02777777777777779,-0.008583021223470544
bbbp,83,1,32,pr_auc,1,0.0015106117353308468,0.007269881357212404,0.005555555555555536,-0.0062109862671659855
bbbp,83,2,4,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,83,2,8,pr_auc,1,-0.015070149017121115,-0.0051984227883663525,0.07894736842105265,-0.0365805326569435
bbbp,83,2,16,pr_auc,0,0.0,0.0,0.0,0.0
bbbp,83,2,32,pr_auc,0,0.0,0.0,0.0,0.0
