task,candidate_count,comparison,metric,mean_paired_difference,positive_seed_means,negative_seed_means
bbbp,16,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.023519451840766377,5,0
bbbp,16,Classical multiview - Homogeneous Morgan,selected_model_gain,0.02265213234275333,5,0
bbbp,16,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,-0.00015878798151003348,2,3
bbbp,16,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.6564102564102565,5,0
bbbp,16,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.23060388420943564,4,1
bbbp,16,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.01406224277240523,5,0
bbbp,16,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.01639602127738924,5,0
bbbp,16,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.0007681413492761043,4,1
bbbp,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.6564102564102565,5,0
bbbp,16,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.4700964999556715,4,0
bbbp,32,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.023456194960308825,5,0
bbbp,32,Classical multiview - Homogeneous Morgan,selected_model_gain,0.021754431010269377,5,0
bbbp,32,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0007389133509739206,2,3
bbbp,32,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.367816091954023,4,0
bbbp,32,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.19329600459096027,3,2
bbbp,32,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.023273128116181787,5,0
bbbp,32,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.02265213234275333,5,0
bbbp,32,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,-0.00015878798151003348,2,3
bbbp,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.6620689655172414,5,0
bbbp,32,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,0.29000597927281374,5,0
esol,4,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.8187677937508976,5,0
esol,4,Classical multiview - Homogeneous Morgan,selected_model_gain,0.8187677937508976,5,0
esol,4,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,0.0,0,0
esol,4,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
esol,4,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,0.0,0,0
esol,4,Modern-augmented - Homogeneous Morgan,oracle_opportunity_gain,0.4741711346296772,5,0
esol,4,Modern-augmented - Homogeneous Morgan,selected_model_gain,0.006192410891033157,2,3
esol,4,Modern-augmented - Homogeneous Morgan,cross_fitted_selection_gap,0.059116056199371235,3,1
esol,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
esol,4,Modern-augmented - Homogeneous Morgan,chance_adjusted_mrr,-0.6956521739130436,0,5
esol,8,Classical multiview - Homogeneous Morgan,oracle_opportunity_gain,0.8115578901284625,5,0
esol,8,Classical multiview - Homogeneous Morgan,selected_model_gain,0.8545407603457399,5,0
esol,8,Classical multiview - Homogeneous Morgan,cross_fitted_selection_gap,-0.03577296659484229,0,5
esol,8,Classical multiview - Homogeneous Morgan,chance_adjusted_hit3,0.0,0,0
esol,8,Classical multiview - Homogeneous Morgan,chance_adjusted_mrr,-0.10096912328149654,0,5
