design,pool,task,task_type,seed,outer_fold,candidate_count,eligible_candidate_count,anchor_scheme,selected_candidate,selected_representation,selected_family,oracle_candidate,anchor_utility,selected_utility,oracle_utility,oracle_opportunity_gain,selected_model_gain,same_unit_selection_gap,outer_utility_range,range_normalized_selection_loss,top3_hit,chance_adjusted_hit3,inner_rank_of_outer_oracle,reciprocal_rank,random_order_mrr_expectation,chance_adjusted_mrr,audit_fit_seconds,downstream_efficiency_per_second,selected_gain_per_audit_hour,opportunity_capture_fraction,cross_reference_candidate,cross_reference_utility,cross_fitted_selection_gap
component_ablation,+ChemBERTa,bbbp,classification,23,2,16,16,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,multiview__random_forest,0.8120517342739565,0.8844356261022929,0.8882716049382717,0.07621987066431524,0.07238389182833638,0.0038359788359788594,0.11575543797766041,0.03313864906015063,1,1.0,3,0.3333333333333333,0.21129556207681208,0.15473194442505028,11.145362500217741,0.006494530063685434,23.380308229267563,0.949672194369456,multiview__random_forest,0.8882716049382717,0.0038359788359788594
component_ablation,+ChemBERTa,bbbp,classification,23,2,32,32,shared_morgan_linear,rdkit2d__extra_trees,rdkit2d,extra_trees,rdkit2d__extra_trees,0.8120517342739565,0.9019106407995297,0.9019106407995297,0.08985890652557316,0.08985890652557316,0.0,0.12939447383891833,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,37.462650300352834,0.0023986265201511076,8.635055472543987,1.0,multiview__extra_trees,0.8953850676072896,-0.006525573192240008
component_ablation,+ChemBERTa,bbbp,classification,23,3,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.7573602794411178,0.8884730538922155,0.8884730538922155,0.1311127744510977,0.1311127744510977,0.0,0.1311127744510977,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,10.316869299975222,0.01270858151235982,45.75089344449535,1.0,multiview__random_forest,0.8884730538922155,0.0
component_ablation,+ChemBERTa,bbbp,classification,23,3,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,rdkit2d__extra_trees,0.7573602794411178,0.8963096534204319,0.9041689348575576,0.14680865541643973,0.13894937397931406,0.007859281437125665,0.14680865541643973,0.05353418308190597,1,1.0,2,0.5,0.12682797485739125,0.4273751499100779,36.377284899994265,0.0038196741279978253,13.750826860792174,0.9464658169177294,multiview__extra_trees,0.8963096534204319,0.0
component_ablation,+ChemBERTa,bbbp,classification,37,1,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__random_forest,0.8146567891972993,0.9427700675168792,0.9427700675168792,0.12811327831957986,0.12811327831957986,0.0,0.12811327831957986,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,11.673350499710066,0.010974850650013622,39.50946234004904,1.0,multiview__random_forest,0.9427700675168792,0.0
component_ablation,+ChemBERTa,bbbp,classification,37,1,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__random_forest,0.8146567891972993,0.9413259564891222,0.9427700675168792,0.12811327831957986,0.12666916729182287,0.001444111027756989,0.12811327831957986,0.011272141706836722,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,38.71711589948973,0.003271658137467112,11.777969294881604,0.9887278582930753,rdkit2d__extra_trees,0.9393848462115528,-0.00194111027756938
component_ablation,+ChemBERTa,bbbp,classification,37,2,16,16,shared_morgan_linear,rdkit2d__random_forest,rdkit2d,random_forest,rdkit2d__random_forest,0.7857508835769705,0.9171947215425476,0.9171947215425476,0.13144383796557702,0.13144383796557702,0.0,0.13144383796557702,0.0,1,1.0,1,1.0,0.21129556207681208,1.0,10.322227900498545,0.012734056952882091,45.84260503037553,1.0,multiview__random_forest,0.9171162975510804,-7.842399146718027e-05
component_ablation,+ChemBERTa,bbbp,classification,37,2,32,32,shared_morgan_linear,multiview__extra_trees,multiview,extra_trees,multiview__extra_trees,0.7857508835769705,0.9188259405650708,0.9188259405650708,0.1330750569881003,0.1330750569881003,0.0,0.1330750569881003,0.0,1,1.0,1,1.0,0.12682797485739125,1.0,35.08881400024984,0.003792520801277375,13.653074884598551,1.0,rdkit2d__extra_trees,0.915971307275655,-0.00285463328941582
component_ablation,+ChemBERTa,bbbp,classification,37,3,16,16,shared_morgan_linear,multiview__random_forest,multiview,random_forest,rdkit2d__random_forest,0.7781485613171257,0.8772311124788428,0.8789813817510386,0.10083282043391284,0.09908255116171705,0.0017502692721957924,0.10408332051084779,0.016816039914834956,1,1.0,2,0.5,0.21129556207681208,0.3660489583187877,9.744629800086837,0.010167913321944163,36.604487958998995,0.9826418693371476,multiview__random_forest,0.8772311124788428,0.0
component_ablation,+ChemBERTa,bbbp,classification,37,3,32,32,shared_morgan_linear,multiview__random_forest,multiview,random_forest,multiview__extra_trees,0.7781485613171257,0.8772311124788428,0.892449799969226,0.11430123865210029,0.09908255116171705,0.015218687490383243,0.11755173872903524,0.12946373788084828,1,1.0,3,0.3333333333333333,0.12682797485739125,0.2365001998801039,34.87426430004415,0.0028411366705617244,10.228092014022206,0.8668545706953842,rdkit2d__extra_trees,0.8901994537621173,0.01296834128327451
