design,pool,task,task_type,candidate_count,anchor_scheme,oracle_opportunity_gain_mean,oracle_opportunity_gain_n_seed_blocks,oracle_opportunity_gain_n_outer_units,oracle_opportunity_gain_low,oracle_opportunity_gain_high,selected_model_gain_mean,selected_model_gain_n_seed_blocks,selected_model_gain_n_outer_units,selected_model_gain_low,selected_model_gain_high,same_unit_selection_gap_mean,same_unit_selection_gap_n_seed_blocks,same_unit_selection_gap_n_outer_units,same_unit_selection_gap_low,same_unit_selection_gap_high,range_normalized_selection_loss_mean,range_normalized_selection_loss_n_seed_blocks,range_normalized_selection_loss_n_outer_units,range_normalized_selection_loss_low,range_normalized_selection_loss_high,chance_adjusted_hit3_mean,chance_adjusted_hit3_n_seed_blocks,chance_adjusted_hit3_n_outer_units,chance_adjusted_hit3_low,chance_adjusted_hit3_high,chance_adjusted_mrr_mean,chance_adjusted_mrr_n_seed_blocks,chance_adjusted_mrr_n_outer_units,chance_adjusted_mrr_low,chance_adjusted_mrr_high,cross_fitted_selection_gap_mean,cross_fitted_selection_gap_n_seed_blocks,cross_fitted_selection_gap_n_outer_units,cross_fitted_selection_gap_low,cross_fitted_selection_gap_high,audit_fit_seconds_mean,audit_fit_seconds_n_seed_blocks,audit_fit_seconds_n_outer_units,audit_fit_seconds_low,audit_fit_seconds_high,downstream_efficiency_per_second_mean,downstream_efficiency_per_second_n_seed_blocks,downstream_efficiency_per_second_n_outer_units,downstream_efficiency_per_second_low,downstream_efficiency_per_second_high,selected_gain_per_audit_hour_mean,selected_gain_per_audit_hour_n_seed_blocks,selected_gain_per_audit_hour_n_outer_units,selected_gain_per_audit_hour_low,selected_gain_per_audit_hour_high,opportunity_capture_fraction_mean,opportunity_capture_fraction_n_seed_blocks,opportunity_capture_fraction_n_outer_units,opportunity_capture_fraction_low,opportunity_capture_fraction_high
component_ablation,+D-MPNN,lipo,regression,16,shared_morgan_linear,0.3663409618826717,5,15,0.3663409618826717,0.3663409618826717,0.3663409618826717,5,15,0.3663409618826717,0.3663409618826717,0.0,5,15,0.0,0.0,0.0,5,15,0.0,0.0,1.0,5,15,1.0,1.0,1.0,5,15,1.0,1.0,0.0,5,15,0.0,0.0,197.43286104002814,5,15,187.34149164009918,206.76050081334157,0.0018656362608190842,5,15,0.0017742994538911764,0.001977957965671161,6.716290538948702,5,15,6.387478034008235,7.087597262237722,1.0,5,15,1.0,1.0
component_ablation,+D-MPNN,lipo,regression,32,shared_morgan_linear,0.3705285426525414,5,15,0.36678913607599917,0.3750762014415948,0.35874838018983424,5,15,0.35023981527437903,0.3663409618826717,0.01178016246270716,5,15,0.0004481741933274848,0.02483638616721578,0.02420856094538517,5,15,0.000985182456350815,0.049898100100860744,1.0,5,15,1.0,1.0,0.7709500599640311,5,15,0.592800106602722,0.9491000133253402,0.0075925816928374525,5,15,0.0,0.016101146608292698,228.10817465334353,5,15,216.75761628018617,237.9650880266136,0.0015807817548235722,5,15,0.0014874583714879178,0.0016805536015541554,5.690814317364859,5,15,5.354850137356503,6.078767711981079,0.9685175196284426,5,15,0.9340142442301242,0.9987347399559259
component_ablation,+D-MPNN,tdc_caco2_wang,regression,16,shared_morgan_linear,0.8351958031840404,5,15,0.8332843635025803,0.8381242164730575,0.8091680259114545,5,15,0.7996907081842447,0.8160301115172034,0.026027777272585838,5,15,0.017864730525160084,0.038149520754692565,0.029712445022484747,5,15,0.01968093428397546,0.04458529385275406,0.5897435897435898,5,15,0.5897435897435898,0.5897435897435898,0.5097445277665291,5,15,0.31251531479904093,0.6478049768437709,0.009535329139139178,5,15,0.002673243533390398,0.019012646866348914,154.10625118669122,5,15,150.75387270665573,157.45862966672672,0.005254998217215126,5,15,0.005155783258827659,0.005369797230009951,18.917993581974454,5,15,18.56081973177957,19.331270028035824,0.9702875549774813,5,15,0.9554147061471937,0.9803190657160028
component_ablation,+D-MPNN,tdc_caco2_wang,regression,32,shared_morgan_linear,0.8418804179863741,5,15,0.8392760322211357,0.8444848037516126,0.80935177403581,5,15,0.7972088644094244,0.8234100583096691,0.03252864395056406,5,15,0.01992301019366307,0.0443670774459698,0.0377568003906671,5,15,0.023047465727137888,0.0517281379110567,0.19080459770114944,5,15,-0.029885057471264364,0.4114942528735632,0.15283733331141036,5,15,0.03825176807119421,0.3388455302295091,0.01765588620369942,5,15,0.009159729613369664,0.02523183952162824,165.35840576002374,5,15,162.16370974659998,168.5531017734475,0.004898463142411885,5,15,0.0047535150684370146,0.005074336747390864,17.634467312682787,5,15,17.11265424637325,18.26761229060711,0.9622431996092888,5,15,0.9482718620888827,0.9777958413965251
component_ablation,+MoLFormer,bace,classification,16,shared_morgan_linear,0.07980412853772338,5,15,0.07472121756015425,0.08625539232199232,0.07380935118845709,5,15,0.06579107956365558,0.08299591182353008,0.005994777349266293,5,15,0.0019760855187390828,0.010013469179793502,0.07368739036379598,5,15,0.02222920077635996,0.125145579951232,0.5076923076923077,5,15,0.2615384615384615,0.7538461538461539,0.34435008572329223,5,15,0.11206603304840998,0.5766341383981745,0.0021720233338956337,5,15,-0.0012355926901381172,0.0065152738939809746,36.36690848668804,5,15,33.968261553118154,38.53788350007574,0.002069042481589532,5,15,0.0017391831598847786,0.002398901803294285,7.448552933722314,5,15,6.261059375585203,8.636046491859425,0.9142960843487122,5,15,0.8571797321881073,0.971412436509317
component_ablation,+MoLFormer,bace,classification,32,shared_morgan_linear,0.0847474262439297,5,15,0.07956794172243783,0.09082936974823623,0.07776728701170824,5,15,0.07039775551096106,0.08612085135534624,0.006980139232221458,5,15,0.004440932178661846,0.00951484308088657,0.07677478570466671,5,15,0.04642575356362714,0.11521265908821485,0.5586206896551724,5,15,0.33793103448275863,0.7793103448275862,0.33890750261588237,5,15,0.2046009468675188,0.4401001465787428,0.005044368168216377,5,15,0.002055822575858975,0.0080882031214187,59.59272921331382,5,15,56.62679003332354,62.5586683933041,0.001320695955355789,5,15,0.001153872725999176,0.0014648345012099116,4.75450543928084,5,15,4.218854361100747,5.273404204355681,0.9097372710501791,5,15,0.8729681121821923,0.9430261906861979
component_ablation,+MoLFormer,bbbp,classification,16,shared_morgan_linear,0.11342530644985623,5,15,0.10607702812845923,0.11882009250764222,0.10958019537368661,5,15,0.1018396544892611,0.11732073625811212,0.0038451110761695906,5,15,0.001169449126305381,0.008412196538971226,0.03497457575718803,5,15,0.011560787552977887,0.07370600837845989,0.7538461538461539,5,15,0.5897435897435898,0.9179487179487179,0.6013152337871487,5,15,0.4421230833205332,0.7605073842537642,0.002808227696423149,5,15,-3.4674962457792446e-06,0.007902708668818356,26.656144580144126,5,15,25.47552173342944,27.836767426858806,0.00412253278050075,5,15,0.003718659402603465,0.004526406158398035,14.841118009802699,5,15,13.387173849372473,16.295062170232928,0.9644067316566927,5,15,0.9259781522314509,0.9884392124469196
component_ablation,+MoLFormer,bbbp,classification,32,shared_morgan_linear,0.12270534818392483,5,15,0.11721047965770852,0.1266107186979767,0.11838704144322323,5,15,0.11398653888951822,0.12278754399692823,0.004318306740701579,5,15,0.002070972637934535,0.007134942335348141,0.0356116465844465,5,15,0.016367553987347294,0.060539872169485975,0.7057471264367816,5,15,0.4850574712643678,0.9264367816091955,0.46173264091547317,5,15,0.2517701958825018,0.6716950859484446,-0.0006694366385355144,5,15,-0.0035166398315877277,0.001964591468108301,43.78277476686829,5,15,42.18607884018372,45.42252664706127,0.0027071497024053004,5,15,0.0025298881180378977,0.0028659517041183637,9.74573892865908,5,15,9.10718515827629,10.317426134826105,0.9643883534152419,5,15,0.9411113727703204,0.9836324460125236
component_ablation,+MoLFormer,clintox,classification,16,shared_morgan_linear,0.16990241028755748,5,15,0.16078590588727176,0.17875972727249853,0.16171105860274393,5,15,0.1467818959704276,0.17268223840887895,0.008191351684813539,5,15,0.0037975166872375636,0.014273894908758328,0.047186582930436725,5,15,0.021483323184015038,0.08826985570775377,0.7538461538461539,5,15,0.5897435897435898,0.9179487179487179,0.5210147685075286,5,15,0.2885660532244173,0.7393756828643905,0.004762276889145085,5,15,0.0,0.010905911563245703,37.30388677328204,5,15,36.042107546659345,39.02953291317293,0.004595844030907433,5,15,0.003932967758087366,0.005092681818331893,16.545038511266757,5,15,14.15868392911452,18.33365454599481,0.9522691491736085,5,15,0.9117301442917103,0.9774745790162136
component_ablation,+MoLFormer,clintox,classification,32,shared_morgan_linear,0.18559296859234928,5,15,0.17237168001493686,0.1968650328951575,0.17488883388661317,5,15,0.1612427402980882,0.18853492747513814,0.010704134705736109,5,15,0.0020813263056431277,0.019326943105829088,0.05404245104343223,5,15,0.01181691428493723,0.09833272183664549,0.7057471264367816,5,15,0.4850574712643678,0.9264367816091955,0.6042526036045206,5,15,0.3726576642348187,0.8294850446398898,0.0059025691083436135,5,15,0.0,0.013961048640507356,59.81964338003114,5,15,58.43804768680129,61.201239073261,0.003010685760317471,5,15,0.0026912180059747684,0.003318130654118818,10.838468737142895,5,15,9.688384821509166,11.945270354827745,0.9437005568643771,5,15,0.8992180280137587,0.9881830857149956
